analyzer,atr_mult,rr_ratio,trades,wins,losses,win_rate,profit_factor,total_r,avg_r
elliott_wave,1.5,3.0,594,183,411,0.30808080808080807,1.3136749651647663,128.92041068271888,0.21703772842208566
elliott_wave,2.0,1.5,594,258,336,0.43434343434343436,1.1482850190696534,49.823766407403575,0.08387839462525855
elliott_wave,2.0,2.5,594,206,388,0.3468013468013468,1.2954146938131432,114.62090119949961,0.19296448013383774
elliott_wave,2.0,2.0,594,231,363,0.3888888888888889,1.2631888054158291,95.53753636594595,0.1608376033096733
elliott_wave,2.5,1.5,594,266,328,0.4478114478114478,1.2138431893136308,69.70117932595016,0.11734205273728984
elliott_wave,2.0,3.0,594,188,404,0.3164983164983165,1.3425479282845776,138.38936302696936,0.23297872563462857
elliott_wave,2.5,2.0,594,236,358,0.39730639730639733,1.2868816720307041,101.86046719191908,0.17148226799986377
elliott_wave,2.5,3.0,594,193,399,0.32491582491582494,1.2957898708641875,116.75063568446676,0.1965498917246915
elliott_wave,2.5,2.5,594,216,376,0.36363636363636365,1.3598022740178368,134.22816333670394,0.22597333895068003
elliott_wave,3.0,1.5,594,264,330,0.4444444444444444,1.1826886951653128,59.51561094660924,0.10019463122324788
elliott_wave,3.0,2.5,594,212,380,0.3569023569023569,1.2356313197906768,87.62088022981445,0.147509899376792
elliott_wave,3.0,2.0,594,238,354,0.4006734006734007,1.2873281095974485,100.00572336163164,0.1683598036391105
elliott_wave,3.0,3.0,594,198,394,0.3333333333333333,1.2465685855177737,94.60543134850612,0.159268402943613
