analyzer,symbol,atr_mult,rr_ratio,trades,wins,losses,win_rate,profit_factor,total_r,avg_r,error
trend,AVAX-USD,2.0,2.5,94,28,66,0.2978723404255319,1.0606060606060606,4.0,0.0425531914893617,
trend,AVAX-USD,2.5,2.0,94,30,64,0.3191489361702128,0.9375,-4.0,-0.0425531914893617,
trend,AVAX-USD,2.5,1.5,94,32,62,0.3404255319148936,0.7741935483870968,-14.0,-0.14893617021276595,
trend,AVAX-USD,2.5,2.5,94,23,71,0.24468085106382978,0.7681843831823241,-16.458908794054988,-0.1750947744048403,
trend,DOT-USD,1.0,1.5,94,54,40,0.574468085106383,2.025,41.0,0.43617021276595747,
trend,DOT-USD,1.0,2.0,94,47,47,0.5,2.0,47.0,0.5,
trend,DOT-USD,1.0,3.0,94,37,57,0.39361702127659576,1.9473684210526316,54.0,0.574468085106383,
trend,DOT-USD,1.0,2.5,94,41,53,0.43617021276595747,1.9339622641509433,49.5,0.526595744680851,
trend,DOT-USD,1.5,1.5,94,51,43,0.5425531914893617,1.7790697674418605,33.5,0.35638297872340424,
trend,AVAX-USD,3.0,1.5,94,34,60,0.3617021276595745,0.8520870609555302,-8.85303889347717,-0.0941812648242252,
trend,AVAX-USD,3.0,2.0,94,26,68,0.2765957446808511,0.7470786331292858,-17.161483343269992,-0.1825689717369148,
trend,AVAX-USD,2.5,3.0,94,21,73,0.22340425531914893,0.7519308765626335,-18.109046010927752,-0.1926494256481676,
trend,AVAX-USD,3.0,2.5,94,23,71,0.24468085106382978,0.7033684870247875,-20.756524165681864,-0.22081408686895598,
trend,AVAX-USD,3.0,3.0,94,23,71,0.24468085106382978,0.8248419977225975,-12.256524165681864,-0.13038855495406237,
trend,DOT-USD,1.5,2.5,94,36,58,0.3829787234042553,1.542374419344254,31.457716321966736,0.3346565566166674,
trend,DOT-USD,2.0,1.5,94,45,49,0.4787234042553192,1.3775510204081634,18.5,0.19680851063829788,
trend,DOT-USD,1.5,2.0,94,41,53,0.43617021276595747,1.5471698113207548,29.0,0.30851063829787234,
trend,DOT-USD,1.5,3.0,94,30,64,0.3191489361702128,1.3843917174635538,24.601069917667452,0.2617135097624197,
trend,DOT-USD,2.0,2.0,94,37,57,0.39361702127659576,1.288917320025878,16.46828724147505,0.175194545122075,
trend,DOT-USD,2.0,2.5,94,30,64,0.3191489361702128,1.086908328654496,5.5621330338877435,0.05917162802008238,
trend,DOT-USD,2.0,3.0,94,29,65,0.30851063829787234,1.205101630489902,13.33160598184363,0.141825595551528,
trend,DOT-USD,2.5,1.5,94,43,51,0.4574468085106383,1.2583260743760791,13.174629793180038,0.14015563609766,
trend,DOT-USD,2.5,2.0,94,35,59,0.3723404255319149,1.112706888595088,6.649706427110193,0.07074155773521482,
trend,DOT-USD,2.5,2.5,94,33,61,0.35106382978723405,1.1424328786296334,8.688405596407637,0.09242984677029402,
trend,DOT-USD,3.0,1.5,94,41,53,0.43617021276595747,1.1284777141014188,6.809318847375199,0.07243956220611913,
trend,DOT-USD,2.5,3.0,94,30,64,0.3191489361702128,1.124700455065578,7.98082912419698,0.08490243749145723,
trend,DOT-USD,3.0,2.0,94,39,55,0.4148936170212766,1.2447819192552283,13.463005559037562,0.14322346339401662,
trend,DOT-USD,3.0,3.0,94,35,59,0.3723404255319149,1.2246189811880357,13.2525198900941,0.14098425414993723,
trend,DOT-USD,3.0,2.5,94,35,59,0.3723404255319149,1.1571565362691567,9.272235639880257,0.09864080467957721,
trend,ATOM-USD,1.0,2.5,92,29,63,0.31521739130434784,1.1507936507936507,9.5,0.10326086956521739,
trend,ATOM-USD,1.0,1.5,92,46,46,0.5,1.5,23.0,0.25,
trend,ATOM-USD,1.0,2.0,92,33,59,0.358695652173913,1.11864406779661,7.0,0.07608695652173914,
trend,ATOM-USD,1.0,3.0,92,23,69,0.25,1.0,0.0,0.0,
trend,ATOM-USD,1.5,1.5,92,38,54,0.41304347826086957,1.0555555555555556,3.0,0.03260869565217391,
trend,ATOM-USD,1.5,2.5,92,24,68,0.2608695652173913,0.8823529411764706,-8.0,-0.08695652173913043,
trend,ATOM-USD,1.5,2.0,92,28,64,0.30434782608695654,0.875,-8.0,-0.08695652173913043,
trend,ATOM-USD,1.5,3.0,92,22,70,0.2391304347826087,0.9428571428571428,-4.0,-0.043478260869565216,
trend,ATOM-USD,2.0,1.5,92,37,55,0.40217391304347827,1.009090909090909,0.5,0.005434782608695652,
trend,ATOM-USD,2.0,2.0,92,31,61,0.33695652173913043,1.0163934426229508,1.0,0.010869565217391304,
trend,ATOM-USD,2.0,2.5,92,27,65,0.29347826086956524,1.0384615384615385,2.5,0.02717391304347826,
trend,ATOM-USD,2.5,1.5,92,34,58,0.3695652173913043,0.8793103448275862,-7.0,-0.07608695652173914,
trend,ATOM-USD,2.0,3.0,92,24,68,0.2608695652173913,1.0588235294117647,4.0,0.043478260869565216,
trend,ATOM-USD,2.5,2.0,92,29,63,0.31521739130434784,0.934573458403051,-4.060397156053721,-0.044134751696236096,
trend,ATOM-USD,2.5,2.5,92,26,66,0.2826086956521739,0.9919987361448293,-0.5205654041677903,-0.00565831961051946,
trend,ATOM-USD,2.5,3.0,92,24,68,0.2608695652173913,0.9750914405445886,-1.6703778896650618,-0.018156281409402845,
trend,ATOM-USD,3.0,1.5,92,39,53,0.42391304347826086,1.1239121618873047,6.4496690366218985,0.07010509822415108,
trend,ATOM-USD,3.0,2.0,92,32,59,0.34782608695652173,1.1024915609934305,5.9496690366218985,0.06467031561545541,
trend,ATOM-USD,3.0,2.5,92,29,62,0.31521739130434784,1.0004906331669046,0.029594839612089086,0.0003216830392618379,
trend,ATOM-USD,3.0,3.0,92,27,64,0.29347826086956524,1.0428742194682603,2.6477424710805275,0.028779809468266603,
volume,BTC-USD,1.0,2.0,72,25,47,0.3472222222222222,1.0638297872340425,3.0,0.041666666666666664,
volume,BTC-USD,1.0,1.5,72,27,45,0.375,0.9,-4.5,-0.0625,
volume,BTC-USD,1.0,2.5,72,21,51,0.2916666666666667,1.0294117647058822,1.5,0.020833333333333332,
volume,BTC-USD,1.5,1.5,72,33,39,0.4583333333333333,1.2692307692307692,10.5,0.14583333333333334,
volume,BTC-USD,1.5,2.0,72,29,43,0.4027777777777778,1.3488372093023255,15.0,0.20833333333333334,
volume,BTC-USD,1.0,3.0,72,20,52,0.2777777777777778,1.1538461538461537,8.0,0.1111111111111111,
volume,BTC-USD,1.5,2.5,72,26,46,0.3611111111111111,1.4130434782608696,19.0,0.2638888888888889,
volume,BTC-USD,1.5,3.0,72,21,51,0.2916666666666667,1.184342715662186,9.401478498771487,0.1305760902607151,
volume,BTC-USD,2.0,1.5,72,33,39,0.4583333333333333,1.2402127771177873,9.368298307593705,0.13011525427213477,
volume,BTC-USD,2.0,2.0,72,27,45,0.375,1.1228153084880272,5.526688881961228,0.07675956780501705,
volume,BTC-USD,2.0,2.5,72,22,50,0.3055555555555556,0.9244710215823398,-3.7375816274546416,-0.051910855936870025,
volume,BTC-USD,2.5,2.0,72,26,46,0.3611111111111111,0.9825932020193151,-0.7900653019637156,-0.010973129193940494,
volume,BTC-USD,2.5,1.5,72,34,38,0.4722222222222222,1.2742460817254995,10.42135110556898,0.14474098757734696,
volume,BTC-USD,2.0,3.0,72,21,51,0.2916666666666667,0.9912518992242336,-0.4416513575074985,-0.00613404663204859,
volume,BTC-USD,2.5,2.5,72,24,48,0.3333333333333333,1.0326383999694992,1.546678913993999,0.021481651583249984,
volume,BTC-USD,2.5,3.0,72,23,49,0.3194444444444444,1.066353259441196,3.210722693861288,0.044593370748073444,
volume,ETH-USD,1.0,1.5,76,33,43,0.4342105263157895,1.1511627906976745,6.5,0.08552631578947369,
volume,BTC-USD,3.0,1.5,72,33,39,0.4583333333333333,1.2150257456003744,8.061412531613616,0.111964062939078,
volume,ETH-USD,1.0,2.0,76,28,48,0.3684210526315789,1.1666666666666667,8.0,0.10526315789473684,
volume,ETH-USD,1.0,2.5,76,23,53,0.3026315789473684,1.0849056603773586,4.5,0.05921052631578947,
volume,BTC-USD,3.0,2.0,72,27,45,0.375,1.0205421362692293,0.8933868045224369,0.012408150062811624,
volume,BTC-USD,3.0,2.5,72,26,46,0.3611111111111111,1.071623898481251,3.1865796632063423,0.044258050877865864,
volume,BTC-USD,3.0,3.0,72,24,48,0.3333333333333333,1.0199105798501023,0.9167960403557833,0.012733278338274768,
volume,ETH-USD,1.0,3.0,76,20,56,0.2631578947368421,1.0714285714285714,4.0,0.05263157894736842,
volume,ETH-USD,1.5,1.5,76,29,47,0.3815789473684211,0.925531914893617,-3.5,-0.046052631578947366,
volume,ETH-USD,1.5,2.5,76,21,55,0.27631578947368424,0.9545454545454546,-2.5,-0.03289473684210526,
volume,ETH-USD,1.5,3.0,76,19,57,0.25,1.0,0.0,0.0,
volume,ETH-USD,1.5,2.0,76,21,55,0.27631578947368424,0.7636363636363637,-13.0,-0.17105263157894737,
volume,ETH-USD,2.0,1.5,76,23,53,0.3026315789473684,0.6509433962264151,-18.5,-0.24342105263157895,
volume,ETH-USD,2.0,2.0,76,23,53,0.3026315789473684,0.8679245283018868,-7.0,-0.09210526315789473,
volume,ETH-USD,2.0,2.5,76,19,57,0.25,0.8098006916613774,-10.841360575301488,-0.14264948125396695,
volume,ETH-USD,2.5,1.5,76,26,50,0.34210526315789475,0.78,-11.0,-0.14473684210526316,
volume,ETH-USD,2.0,3.0,76,18,58,0.23684210526315788,0.8564634927530627,-8.325117420322362,-0.10954101868845213,
volume,ETH-USD,2.5,2.0,76,21,55,0.27631578947368424,0.7164722439238839,-15.594026584186388,-0.20518456031824195,
volume,ETH-USD,2.5,2.5,76,20,56,0.2631578947368421,0.7914101417820877,-11.681032060203087,-0.15369779026583008,
volume,ETH-USD,3.0,1.5,76,25,51,0.32894736842105265,0.7137101613734445,-14.600781769954331,-0.19211554960466226,
volume,ETH-USD,3.0,2.0,76,22,54,0.2894736842105263,0.7317741966018042,-14.484193383502573,-0.19058149188819176,
