symbol,atr_mult,rr_ratio,pause_after_loss,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
ADA-USD,4.0,3.0,0,14,2,12,0.14285714285714285,0.29683259290862135,-864.7138717710441,-0.08647138717710441,-0.671656074129356,0.10022758898435917,
ADA-USD,5.0,2.0,3,4,1,3,0.25,0.6187447995168506,-120.56072727687751,-0.012056072727687751,-0.15684628862373395,0.031015211437338628,
ADA-USD,5.0,2.0,0,25,6,19,0.24,0.42401633500054214,-1074.6344835320979,-0.10746344835320978,-0.6676122328351247,0.12459167174623717,
ADA-USD,5.0,2.5,2,3,1,2,0.3333333333333333,0.2997449450861121,-146.7031690796921,-0.01467031690796921,-0.32351837924367943,0.02081922482093785,
ADA-USD,5.0,2.5,3,7,2,5,0.2857142857142857,0.5756491831602806,-222.23593095779688,-0.02222359309577969,-0.2266783592280053,0.03113448936726883,
ADA-USD,6.0,1.5,2,3,1,2,0.3333333333333333,0.8160802067490641,-32.99409735797417,-0.003299409735797417,-0.05703100626021381,0.017680551539229747,
ADA-USD,6.0,1.5,3,4,1,3,0.25,0.5167719816592181,-136.8969506679823,-0.01368969506679823,-0.21826791462010398,0.027920918059925016,
ADA-USD,5.0,2.5,0,14,2,12,0.14285714285714285,0.2752930552250088,-793.6230892175445,-0.07936230892175444,-0.6901556637534694,0.0877524755394944,
ADA-USD,5.0,3.0,2,3,1,2,0.3333333333333333,0.2997449450861121,-146.7031690796921,-0.01467031690796921,-0.32351837924367943,0.02081922482093785,
ADA-USD,5.0,3.0,3,4,1,3,0.25,0.1987014284967906,-253.2377755906091,-0.025323777559060907,-0.46669511341432196,0.03140620300466651,
ADA-USD,5.0,3.0,0,11,1,10,0.09090909090909091,0.06418826766906052,-915.5202223154029,-0.09155202223154028,-1.0326247170641496,0.09722115313754498,
ADA-USD,6.0,2.0,0,11,1,10,0.09090909090909091,0.05705856687948068,-864.8040694913452,-0.08648040694913452,-1.013409468210596,0.09123600321939714,
ADA-USD,6.0,2.0,2,3,1,2,0.3333333333333333,0.2519008487376626,-155.41158728201844,-0.015541158728201844,-0.35384656123612573,0.020666050224118063,
ADA-USD,6.0,1.5,0,25,7,18,0.28,0.3433945943570612,-1007.9723207257393,-0.10079723207257393,-0.7965413127530655,0.11377160235179219,
ADA-USD,6.0,2.0,3,4,1,3,0.25,0.1684902288664637,-258.25366984133143,-0.025825366984133142,-0.4917010736980217,0.030896720994048457,
ADA-USD,6.0,2.5,2,3,1,2,0.3333333333333333,0.2519008487376626,-155.41158728201844,-0.015541158728201844,-0.35384656123612573,0.020666050224118063,
ADA-USD,6.0,2.5,0,11,1,10,0.09090909090909091,0.05705856687948068,-864.8040694913452,-0.08648040694913452,-1.013409468210596,0.09123600321939714,
ADA-USD,6.0,2.5,3,4,1,3,0.25,0.1684902288664637,-258.25366984133143,-0.025825366984133142,-0.4917010736980217,0.030896720994048457,
ADA-USD,6.0,3.0,2,3,1,2,0.3333333333333333,0.2519008487376626,-155.41158728201844,-0.015541158728201844,-0.35384656123612573,0.020666050224118063,
ADA-USD,6.0,3.0,0,11,1,10,0.09090909090909091,0.05705856687948068,-864.8040694913452,-0.08648040694913452,-1.013409468210596,0.09123600321939714,
ADA-USD,6.0,3.0,3,4,1,3,0.25,0.1684902288664637,-258.25366984133143,-0.025825366984133142,-0.4917010736980217,0.030896720994048457,
DOT-USD,2.5,1.5,2,3,1,2,0.3333333333333333,0.6127193410242008,-86.71815321008944,-0.008671815321008945,-0.1445496137266537,0.022088504312294092,
DOT-USD,2.5,2.5,2,3,1,2,0.3333333333333333,1.0621874696691576,13.881246220476896,0.0013881246220476895,0.02236570504248126,0.02180463077812782,
DOT-USD,2.5,1.5,3,4,1,3,0.25,0.412243558183636,-195.60921981379033,-0.019560921981379032,-0.29335943805430365,0.03283023721721868,
DOT-USD,2.5,2.0,2,3,1,2,0.3333333333333333,0.8321685074243208,-37.74382585974672,-0.003774382585974672,-0.05063639463958717,0.02207597399972988,
DOT-USD,2.5,2.0,3,4,1,3,0.25,0.5597847935963283,-147.17284415530958,-0.014717284415530957,-0.19177817732399985,0.03281784454213132,
DOT-USD,2.5,2.5,3,4,1,3,0.25,0.7090172436640403,-97.30545798621279,-0.009730545798621279,-0.10871132403523674,0.0326657860584619,
DOT-USD,2.5,3.0,2,3,1,2,0.3333333333333333,1.2707528932108159,61.15973263419073,0.006115973263419073,0.07196206384232919,0.021958452591256325,
DOT-USD,2.5,3.0,3,4,1,3,0.25,0.8532840958283989,-49.35567805308892,-0.004935567805308893,-0.04489401957111057,0.0327016140312348,
DOT-USD,3.0,1.5,2,3,1,2,0.3333333333333333,0.6324464742606082,-80.95936502934819,-0.008095936502934819,-0.13504045786145816,0.021723923458173654,
DOT-USD,3.0,1.5,3,4,1,3,0.25,0.42526361206218416,-188.26983702995858,-0.018826983702995858,-0.2836420662028006,0.032307534452818934,
DOT-USD,3.0,2.0,2,3,1,2,0.3333333333333333,0.8568825979462407,-31.60975371119821,-0.003160975371119821,-0.041733090440810056,0.021676351654308826,
DOT-USD,3.0,2.0,3,4,1,3,0.25,0.5757536796663051,-139.45412110335747,-0.013945412110335747,-0.18200922779663498,0.03226047731089717,
DOT-USD,3.0,2.5,2,3,1,2,0.3333333333333333,1.080787260716936,17.88030813444857,0.001788030813444857,0.027304131252187683,0.021615527055026135,
DOT-USD,3.0,2.5,3,4,1,3,0.25,0.7255143112010033,-90.49947413213704,-0.009049947413213704,-0.10072041915733196,0.03220031075070305,
DOT-USD,2.5,2.0,0,52,18,34,0.34615384615384615,0.9089604391869599,-327.45295411052393,-0.032745295411052394,-0.09961238721216724,0.09561690714433445,
DOT-USD,2.5,1.5,0,59,24,35,0.4067796610169492,0.9024063091073359,-356.1271374119351,-0.035612713741193514,-0.12037411325936327,0.0921983353034196,
DOT-USD,3.0,3.0,2,2,0,2,0.0,0.0,-218.4481727179791,-0.02184481727179791,-0.5022393398319909,0.02184481727179791,
DOT-USD,3.0,3.0,3,3,0,3,0.0,0.0,-324.2712036049961,-0.03242712036049961,-0.6152568568503608,0.03242712036049961,
DOT-USD,2.5,2.5,0,44,11,33,0.25,0.7553830372833392,-827.7699010766355,-0.08277699010766355,-0.28747545541902164,0.1203496347384336,
DOT-USD,3.5,1.5,2,3,1,2,0.3333333333333333,0.647216386885528,-76.7537904758592,-0.007675379047585921,-0.12807180202591847,0.02145451391662644,
DOT-USD,2.5,3.0,0,40,10,30,0.25,0.9146201462414748,-267.39348883144885,-0.026739348883144883,-0.06938083313540423,0.10879239457856141,
DOT-USD,3.0,1.5,0,49,21,28,0.42857142857142855,0.9844980994481745,-46.56470103598622,-0.004656470103598622,-0.0038331595936441157,0.06818260450862562,
DOT-USD,3.5,1.5,3,4,1,3,0.25,0.43494517485948664,-182.93508377191029,-0.01829350837719103,-0.2765106595484973,0.03192520294998139,
DOT-USD,3.0,2.0,0,39,13,26,0.3333333333333333,0.885473031131277,-301.33647889834356,-0.030133647889834355,-0.11209043373847977,0.0720044347461176,
