symbol,regime_1d_mode,filter_chop,long_only,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,blocked_1d,error
ADA-USD,none,True,True,117,46,71,0.39316239316239315,1.3527968396178958,3376.3385669634044,0.33763385669634044,0.20633101215751734,0.12497165415825076,0,
ADA-USD,none,False,True,124,48,76,0.3870967741935484,1.317619775436725,3297.3591206453384,0.32973591206453384,0.19774300533078856,0.15087043645833506,0,
ADA-USD,sma200_only,False,False,153,62,91,0.40522875816993464,1.426876047170221,5202.8060262333565,0.5202806026233356,0.26113215331959844,0.12317958095892267,0,
ADA-USD,sma200_only,True,False,185,75,110,0.40540540540540543,1.3432064663432282,5022.47331757939,0.502247331757939,0.23912008647227298,0.11895164923238591,0,
ADA-USD,baseline,True,True,78,34,44,0.4358974358974359,1.6404485223019196,3707.930121782667,0.3707930121782667,0.2593967751416958,0.07761997086229738,0,
ADA-USD,baseline,False,True,84,36,48,0.42857142857142855,1.587852010928846,3775.2350343075996,0.37752350343075997,0.2551963172147604,0.10477020794348892,0,
ADA-USD,drawdown_10,True,True,93,39,54,0.41935483870967744,1.5425517424085111,3975.352352393029,0.3975352352393029,0.25479930462080674,0.07476653726496385,0,
DOT-USD,none,False,False,156,64,92,0.41025641025641024,1.4190104134527923,5226.079937875793,0.5226079937875793,0.2556696642599317,0.14240063354978183,0,
ADA-USD,drawdown_10,False,True,100,41,59,0.41,1.4786628968649944,3893.4316531519435,0.38934316531519436,0.24354029204930835,0.10207561395970244,0,
DOT-USD,none,True,True,42,17,25,0.40476190476190477,1.4837741955454051,1486.3705676352947,0.14863705676352948,0.15506307424972446,0.1018084429824557,0,
DOT-USD,none,True,False,156,64,92,0.41025641025641024,1.403638272666889,5175.77233018802,0.517577233018802,0.25395036690703227,0.1644625333716918,0,
ADA-USD,sma200_only,True,True,56,25,31,0.44642857142857145,1.7463370334975112,2969.42936976278,0.296942936976278,0.2485212265396233,0.07309143422388127,0,
ADA-USD,sma200_only,False,True,58,26,32,0.4482758620689655,1.7479133723510245,3136.6799938494387,0.3136679993849439,0.25557624976444093,0.0808737942906832,0,
DOT-USD,drawdown_10,False,False,155,64,91,0.4129032258064516,1.4121937860409217,5106.714343758422,0.5106714343758422,0.2528688314869826,0.14240063354978183,0,
DOT-USD,baseline,True,True,42,17,25,0.40476190476190477,1.4837741955454051,1486.3705676352947,0.14863705676352948,0.15506307424972446,0.1018084429824557,0,
DOT-USD,none,False,True,159,56,103,0.3522012578616352,1.1578739821044108,2043.9339485454802,0.20439339485454802,0.1210482775081994,0.14165866434233243,0,
DOT-USD,baseline,True,False,199,77,122,0.3869346733668342,1.3050845421172002,5205.3031568924835,0.5205303156892483,0.23120440457624722,0.1644625333716918,0,
DOT-USD,drawdown_10,True,True,42,17,25,0.40476190476190477,1.4837741955454051,1486.3705676352947,0.14863705676352948,0.15506307424972446,0.1018084429824557,0,
DOT-USD,baseline,False,False,263,97,166,0.3688212927756654,1.1828315366298836,4215.199202234071,0.4215199202234071,0.17789856095408638,0.15244959344985531,0,
DOT-USD,drawdown_10,True,False,144,60,84,0.4166666666666667,1.4364461855764648,5082.695852932173,0.5082695852932173,0.2591325980129666,0.1644625333716918,0,
DOT-USD,sma200_only,False,True,51,18,33,0.35294117647058826,1.1975325094919589,784.1074539583042,0.07841074539583041,0.08365486705834226,0.13769347258159134,0,
DOT-USD,sma200_only,True,True,42,17,25,0.40476190476190477,1.4837741955454051,1486.3705676352947,0.14863705676352948,0.15506307424972446,0.1018084429824557,0,
ATOM-USD,none,False,True,40,12,28,0.3,1.0624079178152874,191.67883934494785,0.019167883934494784,0.02724675708240748,0.10069621071202034,0,
DOT-USD,baseline,False,True,97,37,60,0.38144329896907214,1.3216804861240787,2395.6234398960023,0.23956234398960022,0.16612696457347567,0.11326483045664047,0,
DOT-USD,sma200_only,False,False,225,80,145,0.35555555555555557,1.1232414152354533,2356.6626740565025,0.23566626740565025,0.12091613202980965,0.16643798550160216,0,
DOT-USD,sma200_only,True,False,197,76,121,0.38578680203045684,1.3043815059080495,5049.6609031691205,0.5049660903169121,0.2270281872731544,0.1644625333716918,0,
ATOM-USD,none,False,False,205,76,129,0.37073170731707317,1.0639673181206837,875.8580718237317,0.08758580718237317,0.058049378302781646,0.17330034116181842,0,
