symbol,max_confidence,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,expectancy,avg_win,avg_loss,ic_indicators,error
BTC-USD,0.4,9,2,7,0.2222222222222222,0.12620778679017627,-322.3878309424714,-0.03223878309424714,-35.82087010471905,23.28233990657253,52.70750153651664,0.0,
BTC-USD,0.45,11,3,8,0.2727272727272727,0.1746200172238765,-349.36020049477355,-0.03493602004947736,-31.7600182267976,24.63725213468595,52.90899461235393,0.16372104355864808,
BTC-USD,0.5,6,1,5,0.16666666666666666,0.08268495355442249,-258.25147950246355,-0.025825147950246357,-43.0419132504106,23.278274645949516,56.305950829682615,0.0,
BTC-USD,0.55,64,32,32,0.5,1.0424925779494718,71.58726093063459,0.007158726093063459,1.118550952041165,54.88398783184312,52.64688592776079,-0.1329522016897864,
BTC-USD,0.6,59,28,31,0.4745762711864407,0.8122174966671248,-316.09150369369314,-0.031609150369369315,-5.357483113452421,48.828345348465994,54.29952172421745,-0.1313275658533627,
BTC-USD,0.65,67,31,36,0.4626865671641791,0.8219733702911198,-333.1032871334488,-0.03331032871334488,-4.971690852738046,49.6123732376568,51.97463493057805,-0.007305246368253637,
BTC-USD,0.7,69,35,34,0.5072463768115942,1.052048683738562,92.13511969435051,0.00921351196943505,1.335291589773199,53.20877325841101,52.06388071617749,-0.03784983301853415,
BTC-USD,0.8,62,33,29,0.532258064516129,1.158742849971063,246.5344140967712,0.02465344140967712,3.976361517689856,54.532637868655335,53.55319432996051,-0.0029888377046750287,
BTC-USD,0.9,53,30,23,0.5660377358490566,1.5148055244390741,624.9514989175141,0.06249514989175141,11.791537715424788,61.29693240945832,52.7807162333146,-0.00835805713361347,
DOT-USD,0.4,21,13,8,0.6190476190476191,1.7902763354239681,630.0511765780838,0.06300511765780838,30.00243697990875,109.79272604481677,99.6567827505668,0.4221715245851646,
DOT-USD,0.45,22,14,8,0.6363636363636364,1.8541027227982396,683.9265902412055,0.06839265902412055,31.087572283691152,106.04864859194332,100.09431125575013,0.3805007350948645,
DOT-USD,0.5,33,19,14,0.5757575757575758,1.4404308977707707,619.920637420724,0.061992063742072404,18.785473861234074,106.70804012331642,100.53800892302057,0.20520718648768987,
DOT-USD,0.55,21,13,8,0.6190476190476191,1.8485250419472339,687.0862888592109,0.06870862888592108,32.71839470758147,115.14063074584534,101.21773885459733,0.2696433421814724,
DOT-USD,0.6,21,13,8,0.6190476190476191,1.848525041947234,687.086288859211,0.0687086288859211,32.718394707581474,115.14063074584534,101.21773885459731,0.2696433421814724,
DOT-USD,0.65,38,22,16,0.5789473684210527,1.423277530207487,688.9958330838386,0.06889958330838386,18.13146929167997,105.30725519647063,101.73523632740721,0.14270940596869588,
DOT-USD,0.7,25,15,10,0.6,1.6728702652381904,676.2929884243702,0.06762929884243701,27.051719536974794,112.09198259773659,100.50867505416787,0.21712612346734095,
DOT-USD,0.8,26,16,10,0.6153846153846154,1.7300016939480416,734.1167250402931,0.07341167250402932,28.23525865539589,108.73460880332648,100.56370158129307,0.13992729941750498,
DOT-USD,0.9,31,18,13,0.5806451612903226,1.476678244533861,618.3671214534553,0.06183671214534553,19.94732649849857,106.42273854491204,99.7878594119201,0.1401773979709344,
ETH-USD,0.4,37,24,13,0.6486486486486487,1.615998961737436,692.2446163126461,0.06922446163126461,18.709313954395846,75.66750992528374,86.44427860724335,0.30113629537600545,
ETH-USD,0.45,41,26,15,0.6341463414634146,1.4799610648308725,628.8680967079443,0.06288680967079444,15.338246261169381,74.58139405937754,87.34987658905811,0.1227227283924931,
ETH-USD,0.5,46,29,17,0.6304347826086957,1.414684448815813,613.4185087010275,0.06134185087010274,13.335184971761478,72.16069516133102,87.01421476338658,0.10574383145092228,
ETH-USD,0.55,63,37,26,0.5873015873015873,1.2921813336448527,614.4953852424973,0.061449538524249725,9.753895003849166,73.44934001012808,80.8896228897016,0.1402595069429069,
ETH-USD,0.6,107,57,50,0.5327102803738317,1.1858238306469961,641.7016273965527,0.06417016273965527,5.997211470995808,71.84177439255365,69.0655902595801,0.1518813301859097,
ETH-USD,0.65,69,37,32,0.5362318840579711,1.1039553588680429,253.7505638963624,0.02537505638963624,3.6775444042951193,72.82993493409633,76.27990714578755,0.14992868248914917,
ETH-USD,0.7,77,41,36,0.5324675324675324,1.127989436959591,337.9399711089306,0.03379399711089306,4.388830793622468,72.64180216982895,73.34371994039046,0.08878458157242906,
ETH-USD,0.8,56,34,22,0.6071428571428571,1.3386292675419957,639.0768872318991,0.06390768872318991,11.412087271998196,74.30362793019056,85.78393010884453,-0.006666448516210202,
ETH-USD,0.9,59,35,24,0.5932203389830508,1.3342718375523002,677.2618510295655,0.06772618510295655,11.479014424229923,77.23836991852095,84.42004567161115,0.014209746341658808,
