position_id,symbol,direction,regime,score,entry_price,exit_price,exit_reason,pnl,indicators_dir,indicators_conf,harmonic_dir,harmonic_conf,harmonic_pattern,sr_dir,sr_conf,sr_strength,sr_distance,sr_touches
d9a70dee,DOT-USD,BUY,CHOP,0.6963045212961423,3.8579275608062744,3.824989700147103,stop_loss,-88.39360424565473,BUY,0.85,,,,BUY,0.95,1.0,,16
99cfe7ad,DOT-USD,BUY,CHOP,0.7042368367397756,3.850600481033325,3.924990759560188,take_profit,112.37536499753054,BUY,0.82,,,,BUY,0.98,1.0,,16
d9607627,DOT-USD,SELL,CHOP,0.658609195634253,4.187597274780273,4.227630673238396,stop_loss,-99.20690082311476,SELL,0.66,SELL,0.36,Butterfly,SELL,0.72,0.62,,10
918f72f5,DOT-USD,BUY,CHOP,0.7489155834257353,4.154730796813965,4.158885527610779,stop_loss,54.362239584064376,SELL,0.85,BUY,1.0,Gartley,BUY,0.75,0.7,,12
1c6fdb9c,DOT-USD,SELL,BEAR,0.6513243022789188,4.00606632232666,4.0020602560043335,stop_loss,54.94103617069758,SELL,0.85,,,,SELL,0.86,0.82,,16
65e5a9a1,DOT-USD,SELL,CHOP,0.6771068709737402,4.0042901039123535,3.8897421201552516,take_profit,168.38222592439388,SELL,0.82,,,,SELL,0.92,0.91,,18
1787c8d6,DOT-USD,SELL,BEAR,0.6739723799603006,3.908911943435669,3.959442866883259,stop_loss,-105.5577764432458,SELL,0.85,,,,SELL,0.92,0.92,,18
1fdb7c61,DOT-USD,SELL,BEAR,0.682235496031099,3.9142987728118896,3.967785925058793,stop_loss,-104.50219867881323,SELL,0.85,,,,SELL,0.94,0.92,,18
ad93ffd3,DOT-USD,SELL,BEAR,0.6753427507168701,3.8250396251678467,3.8932412988912395,stop_loss,-103.45717669202507,SELL,0.85,,,,SELL,0.92,1.0,,19
8e6e5519,DOT-USD,SELL,CHOP,0.6717455899757309,3.8956618309020996,3.8917661690711975,stop_loss,53.26774151049078,SELL,0.82,,,,SELL,0.91,0.98,,20
d1565bdc,DOT-USD,SELL,CHOP,0.6531525677179302,3.888737916946411,3.847540491485215,stop_loss,113.21866903583117,SELL,0.82,,,,SELL,0.88,0.97,,20
20c029fd,DOT-USD,SELL,CHOP,0.6981454426340921,3.907334566116333,3.945129257493675,stop_loss,-100.68126242307144,SELL,0.82,,,,SELL,0.96,0.99,,21
0d80f1b4,DOT-USD,SELL,CHOP,0.6544263307046496,3.992555618286133,3.9885630626678465,stop_loss,56.062523174607314,SELL,0.82,,,,SELL,0.88,0.91,,19
e01ec286,DOT-USD,BUY,CHOP,0.678854920633758,4.020039081573486,3.973495138974692,stop_loss,-103.64128163808405,BUY,0.85,,,,BUY,0.91,0.94,,19
4a589d36,DOT-USD,SELL,CHOP,0.6977507900354343,3.9052438735961914,3.9013386297225954,stop_loss,53.82717982956272,SELL,0.82,,,,SELL,0.96,1.0,,22
38db4267,DOT-USD,SELL,CHOP,0.6900556139001931,3.9054324626922607,3.8629584965196786,stop_loss,129.42124422721577,SELL,0.82,,,,SELL,0.95,0.98,,21
9c5e05cb,DOT-USD,SELL,CHOP,0.6906133454192354,3.8984596729278564,3.9418885198132685,stop_loss,-104.4373530622702,SELL,0.85,,,,SELL,0.94,1.0,,21
046ee0ed,DOT-USD,SELL,CHOP,0.6549467945367113,4.2881598472595215,4.221287317374038,stop_loss,141.93557822587485,SELL,0.66,SELL,0.51,Gartley,SELL,0.6,0.48,,8
9ecee084,DOT-USD,SELL,CHOP,0.6603909571812371,4.233879566192627,4.139403005813296,stop_loss,156.11800192877348,SELL,0.68,SELL,0.48,Gartley,SELL,0.62,0.55,,9
d6bb4d4b,ATOM-USD,SELL,BEAR,0.7043369213634856,4.715791702270508,4.711075910568237,stop_loss,52.53027029352949,SELL,0.85,,,,SELL,1.0,1.0,,4
3dc2709a,ATOM-USD,SELL,BEAR,0.682960336823328,4.699054718017578,4.576130221785941,stop_loss,136.51675904670586,SELL,0.85,,,,SELL,0.94,1.0,,4
2f3f5199,ATOM-USD,SELL,BEAR,0.6562935442432427,4.594196796417236,4.682276780768169,stop_loss,-101.89047029340227,SELL,0.85,,,,SELL,0.88,0.88,,6
54f7cad6,ATOM-USD,SELL,BEAR,0.6776950642936337,4.5942063331604,4.672406960547874,stop_loss,-100.87156559046821,SELL,0.85,,,,SELL,0.93,0.96,,7
ccc8f926,ATOM-USD,BUY,CHOP,0.6739607145261098,4.722692966461182,4.7993133691739445,stop_loss,141.60701951835557,BUY,0.68,,,,BUY,0.98,1.0,,5
29f1ce0c,ATOM-USD,SELL,BEAR,0.6547404438979467,4.6851043701171875,4.68041926574707,stop_loss,54.18693549904314,SELL,0.82,,,,SELL,0.9,1.0,,6
f20ec87a,ATOM-USD,BUY,CHOP,0.7077901238320096,4.300522804260254,4.372534605823406,stop_loss,142.31917167578825,BUY,0.82,BUY,0.51,Gartley,BUY,0.63,0.48,,5
bd09bc73,ATOM-USD,BUY,BULL,0.6899316459864051,4.72976541519165,4.734495180606841,stop_loss,54.909898751887326,BUY,0.85,,,,BUY,0.96,1.0,,7
27dcc686,ATOM-USD,BUY,BULL,0.6870578063681891,4.7320380210876465,4.736770059108734,stop_loss,53.76621244017758,BUY,0.85,,,,BUY,0.95,1.0,,7
3c3e8197,ATOM-USD,BUY,BULL,0.681473817373604,4.728321075439453,4.679884304811085,stop_loss,-104.3307423134154,BUY,0.82,,,,BUY,0.96,1.0,,9
61a33bc7,ATOM-USD,BUY,BULL,0.6820044693326788,4.727901935577393,4.669040521942515,stop_loss,-103.28743489028182,BUY,0.82,,,,BUY,0.97,1.0,,9
24117128,ATOM-USD,BUY,BULL,0.6775154673796273,4.739599704742432,4.789494921435382,stop_loss,130.71914755004912,BUY,0.85,,,,BUY,0.93,1.0,,9
530159b1,ATOM-USD,BUY,BULL,0.6928100602091908,4.72749137878418,4.687996157093165,stop_loss,-86.51934032016044,BUY,0.85,,,,BUY,0.97,1.0,,9
8cda744b,ATOM-USD,SELL,CHOP,0.6581653928175966,4.521430015563965,4.607476538443289,stop_loss,-102.69655861367812,SELL,0.85,,,,SELL,0.87,0.84,,8
3e5cd733,ATOM-USD,BUY,CHOP,0.6529945189642304,4.5443315505981445,4.496733208793584,stop_loss,-101.66959302754177,BUY,0.85,,,,BUY,0.86,0.9,,8
8fb34921,ATOM-USD,BUY,BULL,0.6890232480228202,4.730483531951904,4.670955751623772,stop_loss,-100.65289709726552,BUY,0.85,,,,BUY,0.96,1.0,,10
ee36b99c,ATOM-USD,SELL,CHOP,0.6596884997041792,4.606709003448486,4.4835881389928165,stop_loss,148.69927355066878,SELL,0.82,,,,SELL,0.89,0.85,,10
740117b2,ATOM-USD,SELL,BEAR,0.6526605021522258,4.475526809692383,4.540187753525198,stop_loss,-101.13336086179937,SELL,0.85,,,,SELL,0.87,0.82,,9
15e7ada0,ATOM-USD,SELL,CHOP,0.6529766878321795,4.545001983642578,4.442545993845856,take_profit,127.8970647120835,SELL,0.82,,,,SELL,0.88,0.89,,10
a69d8b66,ATOM-USD,SELL,CHOP,0.694520677652105,4.508157253265381,4.562425166799973,stop_loss,-101.40099790030348,SELL,0.85,,,,SELL,0.94,1.0,,10
42f0f25a,ATOM-USD,BUY,CHOP,0.6732863338144873,4.482525825500488,4.511502703297164,stop_loss,111.17312079465789,BUY,0.82,,,,BUY,0.92,0.94,,11
10b7c3f3,ATOM-USD,BUY,CHOP,0.8472359903503615,4.482985019683838,4.447817455679066,stop_loss,-79.62245436260454,BUY,0.57,BUY,0.76,Gartley,BUY,0.84,0.9,,10
b268b1fa,ATOM-USD,BUY,CHOP,0.7722182296148439,4.404701232910156,4.505469556448764,take_profit,130.54957822141233,BUY,0.66,BUY,0.53,Gartley,BUY,0.81,0.75,,9
3fae34b2,ATOM-USD,BUY,CHOP,0.7109132351116891,4.528812408447266,4.491248674894966,stop_loss,-84.60939921546914,BUY,0.82,,,,BUY,0.99,1.0,,10
fbdd1085,ATOM-USD,BUY,CHOP,0.7645359661711645,4.423861980438232,4.377376187245185,stop_loss,-101.16189637568007,BUY,0.66,BUY,0.56,Gartley,BUY,0.78,0.79,,9
de5f389d,ATOM-USD,BUY,CHOP,0.8462962577858643,4.422118663787842,4.5173380907824665,take_profit,122.20106605786071,BUY,0.82,BUY,0.69,Gartley,BUY,0.77,0.77,,10
7c74f873,ATOM-USD,BUY,CHOP,0.6698077655883552,4.529020309448242,4.499938257528091,stop_loss,-65.09386011890525,BUY,0.85,,,,BUY,0.9,0.87,,10
22484dce,ATOM-USD,BUY,CHOP,0.9396701059880773,4.488575458526611,4.518554794538378,stop_loss,85.08495325746395,BUY,0.85,BUY,0.75,Gartley,BUY,0.89,1.0,,13
624e7369,ATOM-USD,BUY,CHOP,0.6516975755085426,4.535921573638916,4.5404574952125545,stop_loss,40.6410548730434,BUY,0.85,SELL,0.48,Butterfly,BUY,0.86,0.85,,10
e0ff7d65,ATOM-USD,SELL,BULL,0.7151650969277257,4.557694435119629,4.598005134458936,stop_loss,-90.19536362595721,SELL,0.66,SELL,0.5,Butterfly,SELL,0.9,0.86,,12
6da202de,ATOM-USD,SELL,BULL,0.6598885845008389,4.5948262214660645,4.641015749606996,stop_loss,-101.07665591635697,SELL,0.66,SELL,0.45,Butterfly,SELL,0.79,0.75,,11
ef3f92dc,ATOM-USD,SELL,CHOP,0.7518617233379576,4.6526570320129395,4.648004374980927,stop_loss,40.30853397920675,SELL,0.66,SELL,0.58,Gartley,SELL,0.74,0.68,,9
f8bb5cc8,ATOM-USD,SELL,CHOP,0.7680760892816232,4.652278423309326,4.686825628229845,stop_loss,-74.60693323127053,SELL,0.66,SELL,0.58,Gartley,SELL,0.77,0.72,,10
88e5003e,ATOM-USD,SELL,CHOP,0.6933325807356858,4.6387939453125,4.668631936397579,stop_loss,-64.1444995472593,SELL,0.66,SELL,0.4,Butterfly,SELL,0.75,0.75,,10
646ad7d5,ATOM-USD,SELL,CHOP,0.7118914526445708,4.653100490570068,4.684838066490553,stop_loss,-67.58086091527161,SELL,0.66,SELL,0.39,Butterfly,SELL,0.8,0.75,,10
4388a658,ATOM-USD,BUY,CHOP,0.6621865806064292,4.720803260803223,4.821260108406186,take_profit,118.66191498351576,BUY,0.85,SELL,0.39,Butterfly,BUY,0.88,0.85,,11
9f359420,ATOM-USD,SELL,CHOP,0.7539070708067046,4.692236423492432,4.687544187068939,stop_loss,54.2959634462199,SELL,0.66,SELL,0.38,Butterfly,SELL,0.88,0.95,,13
61b57bea,ATOM-USD,SELL,CHOP,0.7984505576544905,4.657626152038574,4.652968525886536,stop_loss,54.92752486306844,SELL,0.85,SELL,0.48,Butterfly,SELL,0.81,0.75,,10
d3e6fa30,ATOM-USD,SELL,CHOP,0.777429592580113,4.636220455169678,4.499261649552291,take_profit,168.54512308441016,SELL,0.85,SELL,0.51,Butterfly,SELL,0.75,0.76,,10
76fb4364,ATOM-USD,SELL,BEAR,0.6553723228049199,4.506375789642334,4.501869413852692,stop_loss,55.77771005437152,SELL,0.85,BUY,0.61,Gartley,SELL,0.87,0.91,,11
fbe470f0,ATOM-USD,BUY,BEAR,0.7252612185946321,4.537912845611572,4.496836129829921,stop_loss,-93.16911594643184,BUY,0.66,BUY,0.57,Gartley,BUY,0.88,0.89,,11
bf99fc8e,ATOM-USD,BUY,BEAR,0.7518047532392569,4.538451194763184,4.502738502850641,stop_loss,-80.25983099492149,BUY,0.68,BUY,0.57,Gartley,BUY,0.93,0.93,,15
6ed05633,ATOM-USD,BUY,CHOP,0.6846656834997946,4.48879337310791,4.493282166481017,stop_loss,41.962672283616016,SELL,0.82,BUY,0.61,Gartley,BUY,0.89,1.0,,14
1fdeca86,ATOM-USD,BUY,CHOP,0.8367541455865128,4.538701057434082,4.5777732523440315,stop_loss,125.60591048858043,BUY,0.68,BUY,0.57,Gartley,BUY,0.9,0.89,,15
