symbol,timeframe,atr_mult,rr_ratio,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,expectancy,avg_win,avg_loss,diag_signals,diag_gate_passed,diag_guard_blocked,error
AVAX-USD,1h,6.0,3.0,100,36,64,0.36,0.8488555039988611,-799.5955993152838,-0.07995955993152838,-0.10082315626807603,0.19848067015264154,-7.995955993152819,124.74103027412674,82.66051076849757,5002,101,7115,
DOT-USD,1h,2.0,2.0,102,31,71,0.30392156862745096,0.8553292023825774,-1022.4855351296192,-0.10224855351296191,-0.11341061936024119,0.16913194670140777,-10.024367991466846,195.00596807980182,99.54465557187993,3663,102,8025,
DOT-USD,1h,3.0,1.5,157,65,92,0.4140127388535032,1.0027367353373136,25.235916807640024,0.0025235916807640024,0.014548217267410684,0.1287251106259759,0.16073832361555418,142.25248313999785,100.23016834013282,8029,157,5476,
DOT-USD,1h,4.0,1.5,129,56,73,0.43410852713178294,1.1755800807093006,1183.6629435902123,0.11836629435902123,0.14433108722082336,0.09083040438670165,9.175681733257413,141.5197324712281,92.34852157258311,7264,129,5878,
DOT-USD,1h,4.0,2.5,110,39,71,0.35454545454545455,1.1393773280057677,885.1523151214824,0.08851523151214824,0.10209375429150445,0.08518389132659886,8.046839228377074,185.53627861187755,89.44735986960205,7034,111,6002,
DOT-USD,1h,5.0,2.0,101,39,62,0.38613861386138615,1.1055553383347285,544.4194161740525,0.054441941617405246,0.07783933439405208,0.07312849335788049,5.390291249248072,146.20737581939284,83.18819743197201,6509,101,6321,
DOT-USD,1h,4.0,2.0,122,48,74,0.39344262295081966,1.1493907683549778,1016.1180596455451,0.10161180596455452,0.11775612369701165,0.09412398943374974,8.32883655447165,162.8721677070922,91.91548635533626,7313,122,5877,
DOT-USD,1h,3.0,2.5,132,47,85,0.3560606060606061,1.1693923571494593,1407.505098646392,0.14075050986463922,0.13335922488114652,0.10830531013357489,10.662917413987877,206.73716595308125,97.75460824880493,8129,132,5397,
DOT-USD,1h,3.0,3.0,132,43,89,0.32575757575757575,1.1393983624407167,1258.928320819754,0.12589283208197538,0.11400680437220151,0.12383967873783532,9.537335763785919,239.304280436911,101.47365997716214,7985,132,5461,
DOT-USD,1h,3.0,2.0,147,56,91,0.38095238095238093,1.1215829985719667,1102.2940338029784,0.11022940338029784,0.11221304829587296,0.13293664664119953,7.498598869407935,181.57999389330277,99.62841345298887,8309,147,5299,
DOT-USD,1h,4.0,3.0,103,34,69,0.3300970873786408,1.1522575658389689,936.7379504557102,0.09367379504557102,0.10276555506579044,0.08719409479374167,9.094543208307826,208.5018363597494,89.1641229822576,7329,103,5836,
DOT-USD,1h,5.0,1.5,111,51,60,0.4594594594594595,1.2057643937346054,1093.8260457127017,0.10938260457127016,0.14824754935689333,0.06191591982851216,9.85428870011443,125.68119874653654,88.59858483934435,7105,111,6023,
DOT-USD,1h,5.0,3.0,89,32,57,0.3595505617977528,1.0016931041654298,7.422703754726172,0.0007422703754726171,0.01047677795710607,0.09923358296055526,0.08340116578344947,137.23445294278628,76.91368053358656,6612,89,6255,
DOT-USD,1h,5.0,2.5,92,32,60,0.34782608695652173,1.0234715668097794,113.43521726857762,0.011343521726857762,0.02416417697456913,0.08249241631273724,1.2329914920496279,154.57228592012683,80.54796553625822,6974,92,6060,
DOT-USD,1h,6.0,1.5,99,46,53,0.46464646464646464,1.1465752448008852,622.0828824604396,0.062208288246043957,0.10144706444667889,0.05348391685003436,6.283665479398394,105.7870124350679,80.07772999156003,6243,99,6500,
DOT-USD,1h,6.0,2.5,85,35,50,0.4117647058823529,1.020714421596825,76.18973705666576,0.007618973705666577,0.019876762388115428,0.07437093683308318,0.8963498477254888,107.26545275701763,73.562022188779,6312,85,6436,
DOT-USD,1h,6.0,2.0,90,36,54,0.4,1.08376036525349,345.68770941705225,0.034568770941705226,0.058224273714166795,0.07204061897924101,3.8409745490783536,124.24420451249969,76.42784542653588,6542,90,6316,
ATOM-USD,1h,2.0,1.5,52,18,34,0.34615384615384615,0.7927062342093204,-707.6608263436174,-0.07076608263436174,-0.12821441315335008,0.10931616165604759,-13.608862045069515,150.34143201680968,100.40607654841732,1011,52,9439,
ATOM-USD,1h,2.0,2.5,31,10,21,0.3225806451612903,1.0834782424760512,186.2128615446527,0.01862128615446527,0.04013896327878728,0.09561792499119552,6.006866501440513,241.6888256969733,106.22263787738463,841,31,9540,
ATOM-USD,1h,2.0,2.0,43,15,28,0.3488372093023256,1.0522397235297798,157.52792969924303,0.015752792969924302,0.033844641247228024,0.10492855654105275,3.663440225563832,211.53397452478293,107.69577457758926,894,43,9512,
ATOM-USD,1h,2.0,3.0,27,7,20,0.25925925925925924,1.0603776875065811,123.5719023710335,0.01235719023710335,0.02860904606880107,0.09561792499119556,4.576737124853125,310.0314832189897,102.33242400809469,855,27,9530,
ATOM-USD,1h,4.0,2.5,36,10,26,0.2777777777777778,0.5855500530667771,-1019.3454529593891,-0.10193454529593891,-0.2192135337006245,0.1403521633012663,-28.315151471094076,144.01685619467997,94.59669288100719,2331,36,8741,
DOT-USD,1h,6.0,3.0,83,35,48,0.42168674698795183,1.0949617303345751,345.9803724868343,0.03459803724868343,0.05916863463220706,0.060502744377389034,4.168438222732966,113.98133482230917,75.90346554779136,6357,83,6420,
ATOM-USD,1h,4.0,2.0,136,56,80,0.4117647058823529,1.0925642410301488,715.3280968835825,0.07153280968835825,0.0837194845361149,0.12446956407383548,5.259765418261594,150.77210366115088,96.59887135176089,6921,137,6066,
ATOM-USD,1h,4.0,1.5,150,68,82,0.4533333333333333,1.1075470082774648,847.8140688232579,0.08478140688232579,0.10200846150345717,0.13290507835520363,5.652093792155057,128.39719641455272,96.1365278947113,7361,150,5818,
ATOM-USD,1h,3.0,3.0,144,50,94,0.3472222222222222,1.2413897822395765,2332.370895468419,0.23323708954684189,0.1806886287511129,0.13940955252535955,16.19702010741959,239.89262272533452,102.79000256168409,7311,144,5817,
ATOM-USD,1h,4.0,3.0,123,46,77,0.37398373983739835,1.1141217748236523,842.1895176835133,0.08421895176835133,0.08934866929800687,0.13194489950868635,6.847069249459516,178.73769176930972,95.8408351130484,6867,123,6111,
ATOM-USD,1h,3.0,2.5,156,57,99,0.36538461538461536,1.1954692115095973,1940.6694565220732,0.19406694565220733,0.16288839433219884,0.14206380285926334,12.440188823859437,208.22685973505065,100.28547018561429,7438,156,5715,
ATOM-USD,1h,3.0,2.0,164,66,98,0.4024390243902439,1.2016606006222863,2047.0905731194816,0.20470905731194816,0.17936948927108795,0.14627248825469077,12.482259592191987,184.82209487595486,103.58334376217894,7709,164,5573,
ATOM-USD,1h,5.0,2.0,111,48,63,0.43243243243243246,1.1199194818854032,686.8286723729889,0.06868286723729888,0.09190351349613081,0.10045137917266003,6.187645697053995,133.6300822460491,90.91135357837086,6714,112,6212,
ATOM-USD,1h,6.0,1.5,106,51,55,0.4811320754716981,1.1928927326358412,926.8972222350258,0.09268972222350258,0.13660831813738594,0.09953165512637346,8.744313417311588,112.39498448692189,87.36812702905434,6288,106,6445,
ATOM-USD,1h,5.0,1.5,118,53,65,0.4491525423728814,1.0461049789724726,262.2846603685048,0.026228466036850476,0.04405734938189196,0.11269592995033764,2.2227513590551453,112.28570316623689,87.52088626833921,6796,118,6146,
ATOM-USD,1h,3.0,1.5,199,90,109,0.45226130653266333,1.189625581861075,2204.8152976501133,0.22048152976501134,0.19595333788550143,0.13283599458827114,11.079473857538275,153.6891017680909,106.67159505943177,8195,199,5295,
ATOM-USD,1h,6.0,2.0,98,42,56,0.42857142857142855,1.126533767048391,596.1555584569996,0.05961555584569996,0.08884848992386012,0.09298484637022432,6.0832199842550665,126.37119242692658,84.13275934774857,6435,99,6345,
ATOM-USD,1h,5.0,2.5,109,45,64,0.41284403669724773,1.1561168480662964,928.521661932793,0.0928521661932793,0.11170549479545411,0.09401737150724038,8.518547357181554,152.80285966019974,92.93135973087811,6747,109,6200,
ATOM-USD,1h,5.0,3.0,102,41,61,0.4019607843137255,0.9487612738877321,-277.568016397101,-0.027756801639710102,-0.024511130138611673,0.10992336150911462,-2.7212550627166507,125.35573012775802,88.80578609237996,6654,102,6215,
ATOM-USD,1h,6.0,2.5,92,40,52,0.43478260869565216,1.1031880818365989,457.0937786552986,0.04570937786552986,0.07101261682959306,0.08701375821003796,4.968410637557561,122.1702157650071,85.18682407586515,6475,93,6280,
ATOM-USD,1h,6.0,3.0,90,40,50,0.4444444444444444,1.0763504130074324,333.6770038745617,0.03336770038745617,0.0547004409367073,0.07484095044695098,3.7075222652728925,117.60033992759979,87.40673186458861,6408,91,6321,
