analyzer,symbol,signals,trades,wins,losses,win_rate,profit_factor,total_r,avg_r,ic,buy_trades,buy_wins,buy_wr,sell_trades,sell_wins,sell_wr,error
harmonic,BTC-USD,85,85,33,52,0.38823529411764707,1.2692307692307692,14.0,0.16470588235294117,-0.21612970529913403,43,19,0.4418604651162791,42,14,0.3333333333333333,
support_resistance,BTC-USD,69,69,25,44,0.36231884057971014,1.1363636363636365,6.0,0.08695652173913043,0.22783933406170304,25,8,0.32,44,17,0.38636363636363635,
harmonic,ETH-USD,81,81,23,58,0.2839506172839506,0.7699749667559401,-13.341451928155472,-0.1647092830636478,0.026614127425341527,38,12,0.3157894736842105,43,11,0.2558139534883721,
harmonic,ADA-USD,76,76,24,52,0.3157894736842105,0.9365864905859144,-3.249938454666294,-0.0427623480877144,-0.06544873461176158,40,10,0.25,36,14,0.3888888888888889,
support_resistance,ETH-USD,68,68,19,49,0.27941176470588236,0.7490630662742683,-12.295909752560854,-0.18082220224354198,0.08628942536285321,39,13,0.3333333333333333,29,6,0.20689655172413793,
elliott_wave,BTC-USD,99,99,34,65,0.3434343434343434,1.0461538461538462,3.0,0.030303030303030304,-0.10048714591142485,47,18,0.3829787234042553,52,16,0.3076923076923077,
elliott_wave,ETH-USD,99,99,38,61,0.3838383838383838,1.2347826353861577,14.32174075855562,0.14466404806621838,-0.04105372982656325,47,20,0.425531914893617,52,18,0.34615384615384615,
elliott_wave,ADA-USD,99,99,34,65,0.3434343434343434,1.023921434676883,1.5501630413398806,0.015658212538786673,-0.07568177282488382,54,17,0.3148148148148148,45,17,0.37777777777777777,
elliott_wave,AVAX-USD,99,99,33,66,0.3333333333333333,1.0,0.0,0.0,-0.06601417605060565,46,15,0.32608695652173914,53,18,0.33962264150943394,
elliott_wave,DOT-USD,99,99,41,58,0.41414141414141414,1.4085661858617355,23.61949162525345,0.23858072348740858,-0.04581018943778247,57,23,0.40350877192982454,42,18,0.42857142857142855,
elliott_wave,ATOM-USD,99,99,33,66,0.3333333333333333,0.9731322789297997,-1.7732695906332125,-0.017911814046800128,0.11837115408755382,47,14,0.2978723404255319,52,19,0.36538461538461536,
momentum,DOT-USD,8,8,3,5,0.375,1.2,1.0,0.125,-0.5957578939222937,1,1,1.0,7,2,0.2857142857142857,
harmonic,AVAX-USD,74,74,27,47,0.36486486486486486,1.1344105197880834,6.3172944300399205,0.08536884364918812,0.13641821264560317,39,14,0.358974358974359,35,13,0.37142857142857144,
momentum,ADA-USD,4,4,2,2,0.5,2.0,2.0,0.5,0.5446947846749643,1,0,0.0,3,2,0.6666666666666666,
harmonic,DOT-USD,73,73,25,48,0.3424657534246575,1.0416666666666667,2.0,0.0273972602739726,0.05263610249767388,36,12,0.3333333333333333,37,13,0.35135135135135137,
momentum,ATOM-USD,5,5,1,4,0.2,0.5,-2.0,-0.4,-0.4971174435271333,1,0,0.0,4,1,0.25,
harmonic,ATOM-USD,67,67,27,40,0.40298507462686567,1.35,14.0,0.208955223880597,0.17784546414522537,38,15,0.39473684210526316,29,12,0.41379310344827586,
support_resistance,ADA-USD,54,54,13,41,0.24074074074074073,0.6341463414634146,-15.0,-0.2777777777777778,0.07289994459209251,27,5,0.18518518518518517,27,8,0.2962962962962963,
momentum,AVAX-USD,8,8,1,7,0.125,0.2857142857142857,-5.0,-0.625,-0.5628945225937227,4,0,0.0,4,1,0.25,
support_resistance,AVAX-USD,62,62,18,44,0.2903225806451613,0.8181818181818182,-8.0,-0.12903225806451613,-0.060022083188183056,30,5,0.16666666666666666,32,13,0.40625,
momentum,ETH-USD,12,12,4,8,0.3333333333333333,1.0,0.0,0.0,-0.13067490233813273,1,1,1.0,11,3,0.2727272727272727,
support_resistance,ATOM-USD,66,66,25,41,0.3787878787878788,1.2195121951219512,9.0,0.13636363636363635,-0.18706595980708088,25,8,0.32,41,17,0.4146341463414634,
support_resistance,DOT-USD,62,62,20,42,0.3225806451612903,0.9523809523809523,-2.0,-0.03225806451612903,0.029728179210546348,29,8,0.27586206896551724,33,12,0.36363636363636365,
momentum,BTC-USD,19,19,6,13,0.3157894736842105,0.9230769230769231,-1.0,-0.05263157894736842,0.5685370753612604,9,4,0.4444444444444444,10,2,0.2,
