analyzer,symbol,bar_index,direction,confidence,entry_price,atr,r,exit_reason
trend,AVAX-USD,979,BUY,0.7289273639230626,24.954572677612305,0.28945006838554177,-1.0,sl
trend,AVAX-USD,1079,SELL,0.7628808580065671,23.58673667907715,0.2892942190057437,2.0,tp
trend,AVAX-USD,1179,BUY,0.8589650836627026,24.936569213867188,0.3239541280578503,2.0,tp
trend,AVAX-USD,1282,SELL,0.706768452519937,23.975215911865234,0.2227292544635542,-1.0,sl
trend,AVAX-USD,1404,SELL,0.6313914737274632,23.181386947631836,0.15965047113399325,-1.0,sl
trend,AVAX-USD,1504,BUY,0.6639462824523863,24.864471435546875,0.19213058508836486,-1.0,sl
trend,AVAX-USD,1604,BUY,0.8173320869440416,25.99738883972168,0.19780633033657438,2.0,tp
trend,AVAX-USD,1704,BUY,0.8617482759988732,29.807870864868164,0.30470664966054284,-1.0,sl
trend,AVAX-USD,1808,BUY,0.7148374568049867,31.766216278076172,0.36283559164803303,2.0,tp
trend,AVAX-USD,1910,SELL,0.6748885341289343,31.303001403808594,0.30510567115518566,-1.0,sl
trend,AVAX-USD,2010,SELL,0.9,28.121305465698242,0.4040252846428906,-1.0,sl
trend,AVAX-USD,2110,SELL,0.6276259814463298,29.219179153442383,0.23304511364784702,-1.0,sl
trend,AVAX-USD,2210,SELL,0.6346862525181497,29.96080780029297,0.2024604264215049,-1.0,sl
trend,AVAX-USD,2310,SELL,0.8537200766582567,28.850868225097656,0.24690154696855904,2.0,tp
trend,AVAX-USD,2410,SELL,0.8885091454461455,22.349042892456055,0.4337053613928368,-1.0,sl
trend,AVAX-USD,2510,SELL,0.9,20.60236930847168,0.24355303842970658,2.0,tp
trend,AVAX-USD,2610,SELL,0.9,19.803987503051758,0.1621569627870536,-1.0,sl
trend,AVAX-USD,2720,SELL,0.617610867195963,19.72544288635254,0.08611193583012408,2.0,tp
trend,AVAX-USD,2820,SELL,0.6205399173837144,19.808788299560547,0.20196826090635636,2.0,tp
trend,AVAX-USD,2920,SELL,0.8379918554415562,17.551912307739258,0.2064212208575743,2.0,tp
trend,AVAX-USD,3020,SELL,0.6726110787716962,16.46367645263672,0.19289313005261985,-1.0,sl
trend,AVAX-USD,3125,SELL,0.6342423077134793,17.142242431640625,0.17140468022013314,-1.0,sl
trend,AVAX-USD,3226,SELL,0.6831318205425916,15.424861907958984,0.13708229428154586,-1.0,sl
trend,AVAX-USD,3336,SELL,0.6785102710667755,13.905271530151367,0.11048966500286085,-1.0,sl
trend,AVAX-USD,3436,SELL,0.7288814648843515,14.473136901855469,0.08142435764218914,2.0,tp
trend,AVAX-USD,3536,SELL,0.8308204137713431,13.981663703918457,0.0848909541408803,2.0,tp
trend,AVAX-USD,3640,BUY,0.6747343122393232,14.619978904724121,0.14069993657855487,-1.0,sl
trend,AVAX-USD,3756,SELL,0.642332894463383,13.011482238769531,0.07083213386199264,-1.0,sl
trend,AVAX-USD,3856,SELL,0.7657795987209292,11.532079696655273,0.16525395078722455,-1.0,sl
trend,AVAX-USD,4023,BUY,0.6038986905140983,12.398672103881836,0.06939330494921991,-1.0,sl
trend,AVAX-USD,4175,SELL,0.6003841757457961,12.312711715698242,0.05162155494283832,-1.0,sl
trend,AVAX-USD,4275,BUY,0.8505199661487941,14.134020805358887,0.1307915529111364,2.0,tp
trend,AVAX-USD,4380,SELL,0.701730165025141,13.663359642028809,0.10200285046564046,-1.0,sl
