bar,equity
225,10076.23761546347
226,10076.23761546347
227,10076.23761546347
228,10076.23761546347
229,10076.23761546347
230,10076.23761546347
231,10076.23761546347
232,10076.23761546347
233,10076.23761546347
234,10076.23761546347
235,10076.23761546347
236,10076.23761546347
237,10076.23761546347
238,10076.23761546347
239,10076.23761546347
240,10076.23761546347
241,10076.23761546347
242,10076.23761546347
243,10076.23761546347
244,10076.23761546347
245,10076.23761546347
246,10076.23761546347
247,10076.23761546347
248,10076.23761546347
249,10076.23761546347
250,10076.23761546347
251,10076.23761546347
252,10076.23761546347
253,10076.23761546347
254,10076.23761546347
255,10076.23761546347
256,10076.23761546347
257,10076.23761546347
258,10076.23761546347
259,10076.23761546347
260,10076.23761546347
261,10076.23761546347
262,10076.23761546347
263,10076.23761546347
264,10076.23761546347
265,10076.23761546347
266,10076.23761546347
267,10076.23761546347
268,10076.23761546347
269,10076.23761546347
270,10076.23761546347
271,10076.23761546347
272,10076.23761546347
273,10076.23761546347
274,10076.23761546347
275,10076.23761546347
276,10076.23761546347
277,10076.23761546347
278,10076.23761546347
279,10076.23761546347
280,10076.23761546347
281,10076.23761546347
282,10076.23761546347
283,10076.23761546347
284,10076.23761546347
285,10076.23761546347
286,10076.23761546347
287,10076.23761546347
288,10153.863205776868
289,10153.863205776868
290,10153.863205776868
291,10153.863205776868
292,10153.863205776868
293,10153.863205776868
294,10153.863205776868
295,10153.863205776868
296,10153.863205776868
297,10153.863205776868
298,10153.863205776868
299,10153.863205776868
300,10153.863205776868
301,10153.863205776868
302,10153.863205776868
303,10153.863205776868
304,10153.863205776868
305,10153.863205776868
306,10153.863205776868
307,10153.863205776868
308,10153.863205776868
309,10153.863205776868
310,10153.863205776868
311,10153.863205776868
312,10153.863205776868
313,10153.863205776868
314,10153.863205776868
315,10153.863205776868
316,10153.863205776868
317,10153.863205776868
318,10153.863205776868
319,10153.863205776868
320,10153.863205776868
321,10153.863205776868
322,10153.863205776868
323,10153.863205776868
324,10153.863205776868
325,10153.863205776868
326,10153.863205776868
327,10153.863205776868
328,10153.863205776868
329,10153.863205776868
330,10153.863205776868
331,10153.863205776868
332,10153.863205776868
333,10153.863205776868
334,10153.863205776868
335,10153.863205776868
336,10153.863205776868
337,10153.863205776868
338,10153.863205776868
339,10153.863205776868
340,10153.863205776868
341,10153.863205776868
342,10153.863205776868
343,10153.863205776868
344,10153.863205776868
345,10153.863205776868
346,10153.863205776868
347,10153.863205776868
348,10153.863205776868
349,10153.863205776868
350,10153.863205776868
351,10153.863205776868
352,10153.863205776868
353,10153.863205776868
354,10153.863205776868
355,10153.863205776868
356,10153.863205776868
357,10153.863205776868
358,10153.863205776868
359,10153.863205776868
360,10153.863205776868
361,10153.863205776868
