bar,equity
229,9872.190604294121
230,9872.190604294121
231,9872.190604294121
232,9872.190604294121
233,9872.190604294121
234,9872.190604294121
235,9872.190604294121
236,9872.190604294121
237,9872.190604294121
238,9872.190604294121
239,9872.190604294121
240,9872.190604294121
241,9872.190604294121
242,9872.190604294121
243,9872.190604294121
244,9872.190604294121
245,9872.190604294121
246,9872.190604294121
247,9872.190604294121
248,9872.190604294121
249,9872.190604294121
250,9872.190604294121
251,9872.190604294121
252,9872.190604294121
253,9872.190604294121
254,9872.190604294121
255,9872.190604294121
256,9872.190604294121
257,9872.190604294121
258,9872.190604294121
259,9872.190604294121
260,9872.190604294121
261,9872.190604294121
262,9872.190604294121
263,9872.190604294121
264,9872.190604294121
265,9872.190604294121
266,9872.190604294121
267,9872.190604294121
268,9872.190604294121
269,9872.190604294121
270,9872.190604294121
271,9872.190604294121
272,9872.190604294121
273,9872.190604294121
274,9872.190604294121
275,9872.190604294121
276,9872.190604294121
277,9872.190604294121
278,9872.190604294121
279,9872.190604294121
280,9872.190604294121
281,9872.190604294121
282,9872.190604294121
283,9872.190604294121
284,9872.190604294121
285,9872.190604294121
286,9872.190604294121
287,9872.190604294121
288,9872.190604294121
289,9872.190604294121
290,9872.190604294121
291,9872.190604294121
292,9872.190604294121
293,9872.190604294121
294,9872.190604294121
295,9872.190604294121
296,9872.190604294121
297,9872.190604294121
298,9872.190604294121
299,9872.190604294121
300,9872.190604294121
301,9872.190604294121
302,9872.190604294121
303,9872.190604294121
304,9872.190604294121
305,9872.190604294121
306,9872.190604294121
307,9872.190604294121
308,9872.190604294121
309,9872.190604294121
310,9872.190604294121
311,9872.190604294121
312,9872.190604294121
313,9872.190604294121
314,9872.190604294121
315,9872.190604294121
316,9872.190604294121
317,9872.190604294121
318,9872.190604294121
319,9872.190604294121
320,9872.190604294121
321,9872.190604294121
322,9872.190604294121
323,9872.190604294121
324,9872.190604294121
325,9872.190604294121
326,9872.190604294121
327,9872.190604294121
328,9872.190604294121
329,9872.190604294121
330,9872.190604294121
331,9872.190604294121
332,9872.190604294121
333,9872.190604294121
334,9872.190604294121
335,9872.190604294121
336,9872.190604294121
337,9872.190604294121
338,9872.190604294121
339,9872.190604294121
340,9872.190604294121
341,9872.190604294121
342,9872.190604294121
343,9872.190604294121
344,9872.190604294121
345,9872.190604294121
346,9872.190604294121
347,9872.190604294121
348,9872.190604294121
349,9872.190604294121
350,9872.190604294121
351,9872.190604294121
352,9872.190604294121
353,9872.190604294121
354,9872.190604294121
355,9872.190604294121
356,9872.190604294121
357,9872.190604294121
358,9872.190604294121
359,9872.190604294121
360,9872.190604294121
361,9872.190604294121
362,9872.190604294121
363,9872.190604294121
364,9872.190604294121
365,9872.190604294121
366,9872.190604294121
367,9872.190604294121
368,9872.190604294121
369,9872.190604294121
370,9872.190604294121
371,9872.190604294121
372,9872.190604294121
373,9872.190604294121
374,9872.190604294121
375,9872.190604294121
376,9872.190604294121
377,9872.190604294121
378,9872.190604294121
379,9872.190604294121
380,9872.190604294121
381,9872.190604294121
382,9872.190604294121
383,9872.190604294121
384,9872.190604294121
