symbol,w_trend,w_elliott,w_volatility,w_volume,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.1,0.3,0.5,0.1,24,11,13,0.4583333333333333,1.6212816445369524,956.2316391863496,0.09562316391863497,0.18570745972930486,0.044115404237071026,
BTC-USD,0.1,0.3,0.6,0.0,31,12,19,0.3870967741935484,1.2210711723956906,490.91601479682686,0.04909160147968269,0.0943272850271882,0.060502680556604245,
BTC-USD,0.1,0.3,0.4,0.2,14,7,7,0.5,2.061851171649836,827.3864724777268,0.08273864724777268,0.19775451605532487,0.021819015343737737,
BTC-USD,0.1,0.4,0.0,0.5,77,31,46,0.4025974025974026,1.4547294793340941,2525.5816438539314,0.25255816438539314,0.25367817474361504,0.08024381015503934,
BTC-USD,0.1,0.4,0.1,0.4,68,29,39,0.4264705882352941,1.6128341167998428,2862.910009504192,0.2862910009504192,0.29487588309866325,0.10785730938177567,
BTC-USD,0.1,0.4,0.2,0.3,54,23,31,0.42592592592592593,1.5262445817848562,1925.1235972963095,0.19251235972963096,0.2360521080295586,0.09259597938486737,
BTC-USD,0.1,0.4,0.3,0.2,61,25,36,0.4098360655737705,1.3816118206783214,1638.4903277172434,0.16384903277172433,0.19983349346093127,0.1276418320245779,
BTC-USD,0.1,0.5,0.0,0.4,129,50,79,0.3875968992248062,1.3804593463329646,3748.930013917525,0.37489300139175247,0.2814711020305283,0.12242743124206673,
BTC-USD,0.1,0.5,0.1,0.3,126,50,76,0.3968253968253968,1.449649631740899,4331.17869939792,0.433117869939792,0.31704964343498215,0.10871095710005113,
BTC-USD,0.1,0.5,0.2,0.2,111,42,69,0.3783783783783784,1.3295392405066921,2798.860739040583,0.27988607390405834,0.23796153504603637,0.09636217030671962,
BTC-USD,0.1,0.5,0.3,0.1,110,41,69,0.37272727272727274,1.3179771337301533,2690.713310566427,0.2690713310566427,0.23055560008528386,0.09636217030672023,
BTC-USD,0.1,0.4,0.4,0.1,33,13,20,0.3939393939393939,1.2054743788770337,472.69409806748445,0.047269409806748444,0.09034480897470419,0.06640479885265345,
BTC-USD,0.1,0.5,0.4,0.0,99,33,66,0.3333333333333333,1.1185877375505027,910.2486667275898,0.09102486667275898,0.10103849161027492,0.08644333610815162,
BTC-USD,0.1,0.4,0.5,0.0,32,12,20,0.375,1.1613049169347287,376.63216346406807,0.037663216346406805,0.07428262055288755,0.07073718932889413,
BTC-USD,0.1,0.6,0.0,0.3,150,57,93,0.38,1.437758001746584,5120.721308108225,0.5120721308108225,0.3346958773008261,0.10182015809304248,
BTC-USD,0.1,0.6,0.1,0.2,155,57,98,0.36774193548387096,1.3285598689316438,3996.585814627828,0.39965858146278277,0.2760551421950155,0.10182015809304248,
BTC-USD,0.1,0.6,0.2,0.1,140,51,89,0.36428571428571427,1.3123542677427342,3471.881974846481,0.34718819748464813,0.2568733790562933,0.0929960903842999,
BTC-USD,0.1,0.6,0.3,0.0,144,50,94,0.3472222222222222,1.2285123723912685,2619.502349220231,0.2619502349220231,0.20386335434782293,0.09299609038429986,
BTC-USD,0.1,0.7,0.0,0.2,145,56,89,0.38620689655172413,1.476577506306366,5349.899316701549,0.5349899316701549,0.3501223107549092,0.10182015809304248,
BTC-USD,0.1,0.9,0.0,0.0,34,8,26,0.23529411764705882,0.6261485640932778,-1020.6930036288359,-0.10206930036288359,-0.19763753325522454,0.10206930036288359,
BTC-USD,0.1,0.7,0.1,0.1,160,58,102,0.3625,1.2848132438405018,3676.5019639215916,0.3676501963921592,0.25571422021271606,0.10182015809304248,
BTC-USD,0.1,0.8,0.0,0.1,162,60,102,0.37037037037037035,1.4017800759664802,5237.770134236629,0.5237770134236629,0.3304734011875447,0.10024314520686439,
