position_id,bar_index,segment,direction,regime,score,entry_price,exit_price,exit_reason,pnl
33d7d7fb,5180,2,SELL,BEAR,0.524960176701917,67529.8125,69446.11755228472,stop_loss,-111.63073265584792
f6f82fbe,5345,2,SELL,BEAR,0.5082939813079217,66419.1328125,67759.14885044836,stop_loss,-110.51442532928984
147df7b6,5446,2,SELL,BEAR,0.5837194725047953,65036.359375,66257.28600827146,stop_loss,-109.40928107599714
2b983e21,5450,2,SELL,BEAR,0.5644429595255182,66387.96875,63096.63242131225,take_profit,270.7879706630926
257af74b,5469,2,SELL,BEAR,0.6560359994850706,63301.16015625,64923.324040438616,stop_loss,-111.02306797186773
4a895f5a,5492,2,SELL,BEAR,0.5394037654160997,65408.60546875,67048.60494155824,stop_loss,-109.91283729214939
eefd24dc,5505,2,BUY,BULL,0.5333775613265882,68298.890625,66633.49459663183,stop_loss,-108.81370891922776
45cd33a2,5755,2,SELL,BEAR,0.6495512953934008,66956.8046875,67909.86941602596,stop_loss,-107.7255718300353
d7b5e947,5769,2,SELL,BEAR,0.58801362347837,66930.7265625,68016.08331088006,stop_loss,-106.64831611173467
baefc505,5881,2,BUY,BULL,0.5108988880805951,71784.875,75605.21608774978,take_profit,263.95458237654435
8737b935,5970,2,BUY,BULL,0.621,75636.2578125,73993.00638167307,stop_loss,-108.22137877438342
a838418a,5974,2,BUY,BULL,0.6052412867291368,74028.9375,72277.55746713842,stop_loss,-107.13916498663923
e6502720,6024,2,SELL,BEAR,0.5907737487568363,70248.15625,70063.984375,timeout,14.059791514268518
3a2b6601,6153,2,SELL,BEAR,0.5023066110092426,69452.984375,71005.19693351102,stop_loss,-106.208371251916
9beaeeba,6202,2,SELL,BEAR,0.557047121894853,68448.4765625,65260.20964936379,take_profit,262.86571884849127
9a89dca7,6506,3,BUY,BULL,0.6006880364940013,71687.578125,70945.0,timeout,-60.10234926417526
edcb4f26,6803,3,BUY,BULL,0.5313895520421696,76450.0,74867.85251183629,stop_loss,-107.17392123523989
78b65400,6836,3,BUY,BULL,0.6202448580763532,77549.65625,78126.3125,timeout,36.34276626244439
ad2ba772,6952,3,BUY,BULL,0.5472033842015748,78664.640625,77571.05353595396,stop_loss,-106.46560968551205
bace3ee0,7016,3,SELL,BEAR,0.5193672392427685,75868.4375,77163.20861878624,stop_loss,-105.40095358865602
37deb5ea,7119,3,BUY,BULL,0.5819342677638618,79168.2578125,78365.44807388284,stop_loss,-104.34694405277087
c51d925f,7122,3,BUY,BULL,0.5843667528117747,79754.0,78607.30891417935,stop_loss,-103.30347461224207
988a111f,7135,3,BUY,BULL,0.6523713723340162,80225.0,80214.859375,timeout,-0.5904643362362472
484b01dd,7339,3,SELL,BEAR,0.5506233826740953,78775.0,80058.52800908916,stop_loss,-102.26453522275762
7265facc,7402,3,SELL,BEAR,0.5921821006480725,78600.8203125,76165.79351142986,take_profit,253.10472467632502
6093fe3a,7459,3,SELL,BEAR,0.5932863768500871,76343.0078125,77616.18933539245,stop_loss,-103.77293711729295
666d4b55,7677,3,SELL,BEAR,0.5101625667464724,74713.8125,73786.1171875,timeout,77.33010994936076
bf190b99,7816,3,SELL,BEAR,0.621,68924.9375,65594.82952916934,take_profit,258.7712721140348
1127ae47,7831,3,SELL,BEAR,0.621,65748.8203125,60900.55620634542,take_profit,265.2405539168855
da3489b8,7889,3,SELL,BEAR,0.621,60700.3515625,63404.83094100636,stop_loss,-108.7486271059229
01451fa5,7987,3,SELL,BEAR,0.5788079783170812,61081.12109375,62631.3691448203,stop_loss,-107.66114083486363
7141016c,8092,3,BUY,BULL,0.5760030625403638,64524.30859375,63793.928858343344,stop_loss,-106.58452942651515
2366aa3a,8113,3,BUY,BULL,0.5570547107297638,65281.87890625,64310.26424194705,stop_loss,-105.51868413225039
a8aba073,8203,3,SELL,BEAR,0.5284682201200772,62285.80859375,63839.71266591809,stop_loss,-104.46349729092758
fe3065d1,8316,4,SELL,BEAR,0.5120703953303476,62307.109375,59053.56673886699,take_profit,258.5471557950457
5d7f44af,8450,4,SELL,BEAR,0.52169704053063,58976.609375,60020.91053795126,stop_loss,-106.00433387596865
8dcd0c6c,8455,4,SELL,BEAR,0.5668510347859083,59942.828125,61275.11064446799,stop_loss,-104.94429053720924
cce9f5f0,8718,4,BUY,BULL,0.5222139997897144,63911.25,62752.68984028304,stop_loss,-103.89484763183717
15cb84c2,8806,4,BUY,BULL,0.6130201908552696,64710.05859375,63511.18200033583,stop_loss,-102.85589915551846
db9c4ceb,9213,4,SELL,BEAR,0.587303903321903,62601.44921875,63642.767648365654,stop_loss,-101.82734016396356
91456d45,9279,4,SELL,BEAR,0.5060618266504693,62457.58984375,63146.52218881698,stop_loss,-100.80906676232395
13303ae2,9545,4,SELL,BEAR,0.507486691301995,62746.12890625,63433.72349495038,stop_loss,-99.80097609470045
c62a3b32,9670,4,BUY,BULL,0.5365827851226312,68540.9375,72277.03464305864,take_profit,247.00741583438332
844e66b5,9689,4,BUY,BULL,0.5170897716975542,71943.578125,76769.0974945464,take_profit,253.182601230243
08a0709d,9710,4,BUY,BULL,0.6154165491783155,76288.1171875,79118.2578125,timeout,134.2649612755817
416b4600,9810,4,BUY,BULL,0.5636412387837493,79118.2578125,77058.77846448938,stop_loss,-105.14751611715566
6cfd02c9,10030,4,BUY,BULL,0.5294603984187631,81358.2109375,79600.22117927666,stop_loss,-104.0960409559841
794e0c3c,10195,4,SELL,BEAR,0.6765165289036497,76867.2421875,78134.2020828076,stop_loss,-103.05508054642442
