symbol,atr_mult,rr_ratio,gate_mode,commission_pct,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
ETH-USD,2.5,2.0,conservative,0.001,12,7,5,0.5833333333333334,2.222303117756026,666.6337482987874,0.06666337482987873,0.15108947542173623,0.02133125567443646,
ETH-USD,2.5,2.5,conservative,0.001,12,7,5,0.5833333333333334,2.790635509891363,984.3764496255808,0.09843764496255808,0.1817440944922488,0.021331255674436302,
ETH-USD,3.0,2.5,balanced,0.001,20,6,14,0.3,0.8979978980811373,-148.50937397988855,-0.014850937397988855,-0.023247997666100723,0.09203259489591667,
ETH-USD,3.0,3.0,balanced,0.001,20,6,14,0.3,0.9531820043442757,-68.45696162310378,-0.006845696162310378,-0.007430228910289647,0.09203259489591661,
ETH-USD,3.0,2.5,aggressive,0.001,179,65,114,0.36312849162011174,1.1159448950685738,1417.0637200131296,0.14170637200131295,0.09019120815449452,0.15472627616916232,
ETH-USD,3.0,3.0,aggressive,0.001,168,59,109,0.35119047619047616,1.1167687871559655,1396.6862731293204,0.13966862731293203,0.08654235860121792,0.14844726863096677,
ETH-USD,3.5,2.0,aggressive,0.001,60,20,40,0.3333333333333333,0.7497408153700591,-1039.74194380458,-0.10397419438045799,-0.12624868604120895,0.15529613124849603,
ETH-USD,3.0,3.5,balanced,0.001,19,4,15,0.21052631578947367,0.6465277734426189,-535.3972407478814,-0.05353972407478814,-0.09669446906741638,0.09203259489591667,
ETH-USD,3.0,3.5,aggressive,0.001,158,55,103,0.34810126582278483,1.1494319069932637,1697.5862425378818,0.16975862425378818,0.09943045847378215,0.16022424610882507,
ETH-USD,3.0,2.5,conservative,0.001,12,7,5,0.5833333333333334,2.827258158901307,992.4554945855707,0.09924554945855707,0.18265274309632484,0.02109608190161757,
ETH-USD,3.5,2.5,balanced,0.001,20,6,14,0.3,0.8119506108496359,-267.61205834942666,-0.026761205834942667,-0.048592645150526685,0.09124291972324697,
ETH-USD,3.5,3.0,aggressive,0.001,52,14,38,0.2692307692307692,0.7326557921157131,-1053.9540887337807,-0.10539540887337807,-0.11665407575205708,0.15588915731449657,
ETH-USD,3.0,3.0,conservative,0.001,12,7,5,0.5833333333333334,2.839330698973351,1004.3489443512353,0.10043489443512353,0.17773748746516485,0.021096081901617533,
ETH-USD,3.5,2.5,aggressive,0.001,160,63,97,0.39375,1.1440631609250274,1458.212297500133,0.1458212297500133,0.0995867035068652,0.1556585095665515,
ETH-USD,3.5,3.0,balanced,0.001,19,4,15,0.21052631578947367,0.5628739457054113,-648.9914372626754,-0.06489914372626754,-0.13156757148539094,0.09124291972324666,
ETH-USD,3.5,3.5,aggressive,0.001,48,12,36,0.25,0.7253136715695034,-1012.8054833551323,-0.10128054833551323,-0.1110582551954037,0.1434498256314321,
ETH-USD,3.5,2.0,balanced,0.001,62,26,36,0.41935483870967744,1.3685976065881595,1288.4183014106638,0.12884183014106637,0.1410113755818352,0.07742758043104632,
ETH-USD,3.0,3.5,conservative,0.001,11,7,4,0.6363636363636364,3.863050191844773,1269.2215203686428,0.12692215203686427,0.20437387929231593,0.0210960819016175,
ETH-USD,3.5,2.0,conservative,0.001,12,7,5,0.5833333333333334,2.270629527202404,678.7372057383363,0.06787372057383363,0.1531769678448431,0.02092808377256226,
ETH-USD,3.5,2.5,conservative,0.001,12,7,5,0.5833333333333334,2.3952952884557037,749.7125104498318,0.07497125104498319,0.15657875582018116,0.020928083772562278,
ETH-USD,3.5,3.5,balanced,0.001,19,4,15,0.21052631578947367,0.5685016303343381,-641.1962657001186,-0.06411962657001186,-0.1281317523052968,0.09124291972324686,
ETH-USD,4.0,2.0,balanced,0.001,20,6,14,0.3,0.6903260318946152,-415.86141633219813,-0.04158614163321981,-0.09138062180073489,0.08627083086221828,
ETH-USD,4.0,2.0,aggressive,0.001,158,64,94,0.4050632911392405,1.108615766148552,993.2967789309532,0.09932967789309533,0.07983254084884168,0.12669707708632078,
ETH-USD,4.0,2.5,balanced,0.001,19,4,15,0.21052631578947367,0.49725562294692155,-711.6511007663976,-0.07116511007663975,-0.16246831628880354,0.09125648648065605,
ETH-USD,3.5,3.0,conservative,0.001,11,7,4,0.6363636363636364,3.3348650533986146,1018.1354439771785,0.10181354439771785,0.19043803411052615,0.020928083772562476,
ETH-USD,4.0,2.5,aggressive,0.001,145,58,87,0.4,1.1592924837675507,1359.1515039368587,0.13591515039368587,0.10170597633168388,0.12492878315129732,
ETH-USD,3.5,3.5,conservative,0.001,10,6,4,0.6,2.869027831239335,814.3601328934783,0.08143601328934783,0.1586728481799049,0.020928083772562313,
ETH-USD,4.0,3.0,balanced,0.001,19,4,15,0.21052631578947367,0.5641925162672807,-620.8582547337246,-0.062085825473372463,-0.12868657034260367,0.08627083086221819,
ETH-USD,4.0,3.0,aggressive,0.001,136,49,87,0.3602941176470588,1.1485921528166687,1223.7672622388527,0.12237672622388528,0.0899615417438523,0.10771349234061822,
ETH-USD,4.0,3.5,balanced,0.001,19,4,15,0.21052631578947367,0.548422679264396,-642.62677905903,-0.064262677905903,-0.13467414233854647,0.08627083086221818,
ETH-USD,4.0,2.0,conservative,0.001,12,8,4,0.6666666666666666,2.721640623570263,741.0698105218289,0.07410698105218289,0.1781581287015582,0.02080207595395108,
ATOM-USD,2.5,2.0,aggressive,0.001,97,36,61,0.3711340206185567,1.0365123083409942,248.61520726530944,0.024861520726530945,0.029680393403801335,0.13736791023102682,
ETH-USD,4.0,3.5,aggressive,0.001,135,49,86,0.362962962962963,1.1576463497281912,1328.2001391627236,0.13282001391627238,0.09283135792815073,0.10337649958115558,
ETH-USD,4.0,2.5,conservative,0.001,11,8,3,0.7272727272727273,4.014791087092105,991.1923892156792,0.09911923892156792,0.2123613114634079,0.020802075953951105,
ATOM-USD,2.5,2.5,aggressive,0.001,21,4,17,0.19047619047619047,0.5106600498724357,-911.8807854580846,-0.09118807854580846,-0.17046552780282562,0.11261393566392146,
ATOM-USD,2.5,2.0,balanced,0.001,48,14,34,0.2916666666666667,0.7073046719390674,-1035.6851587245928,-0.10356851587245929,-0.13557647626871547,0.12953698264192437,
ETH-USD,4.0,3.0,conservative,0.001,10,7,3,0.7,3.448085963522868,804.0838040485778,0.08040838040485777,0.18035605039149827,0.02080207595395113,
ETH-USD,4.0,3.5,conservative,0.001,10,7,3,0.7,3.7546811785912233,909.1757963678247,0.09091757963678247,0.1834444983663101,0.020802075953951154,
ATOM-USD,2.5,3.0,aggressive,0.001,19,3,16,0.15789473684210525,0.49404912515355803,-887.7528055031398,-0.08877528055031399,-0.1637582417391648,0.11457644374977363,
ATOM-USD,2.5,2.5,balanced,0.001,43,12,31,0.27906976744186046,0.6721341641942981,-1061.4379572593334,-0.10614379572593334,-0.14228862595189065,0.14931331416985172,
ATOM-USD,2.5,3.5,aggressive,0.001,17,3,14,0.17647058823529413,0.6521425601124902,-552.4902317117085,-0.05524902317117085,-0.09095445521307606,0.10723718305511773,
ATOM-USD,2.5,3.0,balanced,0.001,37,10,27,0.2702702702702703,0.6225733077489798,-1047.7147645495825,-0.10477147645495824,-0.14876224035115163,0.11928320164133722,
ATOM-USD,3.0,2.0,aggressive,0.001,76,29,47,0.3815789473684211,1.0306319066890186,157.80333212832738,0.015780333212832738,0.02302522511705427,0.1250971531654878,
ATOM-USD,2.5,3.5,balanced,0.001,39,10,29,0.2564102564102564,0.6588145674125445,-1035.423979222558,-0.10354239792225581,-0.13061982341781764,0.14389485942159083,
ATOM-USD,2.5,2.0,conservative,0.001,10,4,6,0.4,1.2121276218996706,136.3273319228174,0.01363273319228174,0.03809923294022914,0.05165656798113152,
ATOM-USD,3.0,2.5,aggressive,0.001,61,20,41,0.32786885245901637,0.9966373346611681,-14.577802657719076,-0.0014577802657719076,0.005697808306747243,0.1153916815844984,
ATOM-USD,3.0,2.0,balanced,0.001,41,13,28,0.3170731707317073,0.633120269493267,-1027.7425835661525,-0.10277425835661524,-0.16289781465341413,0.14811839430771878,
ATOM-USD,3.0,3.0,aggressive,0.001,16,3,13,0.1875,0.6175323560133354,-551.8413847239426,-0.05518413847239426,-0.10336293126895973,0.10484559752593077,
