symbol,atr_mult,rr_ratio,filter_chop,long_only,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,buy_trades,buy_pnl,sell_trades,sell_pnl,error
ADA-USD,3.0,2.5,True,False,151,55,96,0.36423841059602646,1.2838372710870123,2803.2214140801643,0.2803221414080164,0.21746776486102912,0.12529747653018178,65,686.985709741528,86,2116.235704338634,
ADA-USD,3.0,3.0,True,False,146,46,100,0.3150684931506849,1.172925345729672,1689.1127320963951,0.1689112732096395,0.13759505499433303,0.1300974358968504,64,484.9335912437815,82,1204.179140852608,
ADA-USD,3.5,2.5,False,False,107,29,78,0.27102803738317754,0.850551287314276,-1086.6123089890425,-0.10866123089890425,-0.10996549750936889,0.1516109276848583,42,-773.829957435357,65,-312.7823515536901,
ADA-USD,3.5,3.5,False,False,17,3,14,0.17647058823529413,0.6416759931119376,-476.1427020084193,-0.04761427020084193,-0.11812497710331052,0.09293614969713761,11,129.0932584069538,6,-605.2359604153748,
ADA-USD,3.0,3.5,True,False,18,3,15,0.16666666666666666,0.6982113444678453,-435.58361520195103,-0.043558361520195106,-0.09763800356927234,0.10219990560284258,13,75.68627786343947,5,-511.26989306539474,
ADA-USD,3.5,3.0,False,False,135,45,90,0.3333333333333333,1.1946010234230773,1715.3164236824687,0.17153164236824686,0.14769639789171468,0.17720257589845007,56,655.7384070070852,79,1059.5780166753855,
ADA-USD,3.5,2.0,False,False,155,61,94,0.3935483870967742,1.1927924978969986,1766.9033884093315,0.17669033884093316,0.16482390798019173,0.153182147305044,69,269.0172087759044,86,1497.8861796334281,
ADA-USD,3.5,2.5,True,False,100,27,73,0.27,0.8434205366426831,-1051.042189802778,-0.1051042189802778,-0.11036009371158206,0.14822531253328047,42,-905.3240773679353,58,-145.71811243484453,
ADA-USD,3.5,3.5,True,False,17,3,14,0.17647058823529413,0.6416759931119377,-476.1427020084193,-0.04761427020084193,-0.11812497710331052,0.09293614969713761,11,129.093258406954,6,-605.2359604153748,
ADA-USD,3.5,3.0,True,False,130,44,86,0.3384615384615385,1.211886033999023,1786.5663831786023,0.17865663831786024,0.15441838340670652,0.14541114972171065,54,398.5022774627428,76,1388.0641057158523,
ADA-USD,3.5,2.0,True,False,149,58,91,0.38926174496644295,1.1875337344358212,1637.0618238863335,0.16370618238863335,0.15716816257546953,0.13168727921349252,67,14.23563391791408,82,1622.8261899684178,
