atr_mult,rr_ratio,filter_chop,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,buy_trades,buy_pnl,buy_wr,sell_trades,sell_pnl,sell_wr,error
3.0,3.5,True,102,43,59,0.4215686274509804,1.3913085427261858,2548.7668122627238,0.2548766812262724,0.24525203139579255,0.05851985059900005,51,1676.6524602851391,0.45098039215686275,51,872.114351977587,0.39215686274509803,
3.5,1.5,False,147,72,75,0.4897959183673469,1.3138913700890782,2559.810479093703,0.2559810479093703,0.2835945954369681,0.04900995009999994,78,1848.9132921812363,0.5256410256410257,69,710.8971869124593,0.4492753623188406,
3.5,1.5,True,138,70,68,0.5072463768115942,1.4089774027594462,3072.6934244242693,0.30726934244242693,0.33993098144761247,0.04900995010000009,72,2009.8343213391192,0.5416666666666666,66,1062.8591030851603,0.4696969696969697,
3.5,2.0,True,120,56,64,0.4666666666666667,1.3875289249041904,2748.0198271911595,0.27480198271911593,0.2926894714402528,0.04900995010000002,63,1806.9183841282331,0.49206349206349204,57,941.1014430629211,0.43859649122807015,
3.5,2.5,True,104,48,56,0.46153846153846156,1.4357339765524402,2698.3810586114632,0.2698381058611463,0.28783772291635273,0.049009950100000164,53,2063.628552114792,0.5094339622641509,51,634.7525064966657,0.4117647058823529,
3.5,2.5,False,112,51,61,0.45535714285714285,1.3892153155504336,2612.705116408795,0.2612705116408795,0.2716228671520696,0.05569627484537498,58,1879.7202630476686,0.4827586206896552,54,732.9848533611265,0.42592592592592593,
3.5,3.0,True,95,44,51,0.4631578947368421,1.4039891808761211,2245.6010102149376,0.22456010102149376,0.24823520537780216,0.04900995009999992,48,1549.2744583169272,0.5,47,696.3265518980119,0.425531914893617,
3.5,3.0,False,104,47,57,0.4519230769230769,1.397352358134267,2516.3997974791673,0.25163997974791674,0.25742582167632605,0.05336272594803515,53,1629.0106483148566,0.4716981132075472,51,887.3891491643104,0.43137254901960786,
3.5,3.5,False,102,45,57,0.4411764705882353,1.328574249421911,2074.975050375946,0.2074975050375946,0.21456447141155233,0.05336272594803512,54,1677.7266741690732,0.46296296296296297,48,397.24837620687913,0.4166666666666667,
3.5,3.5,True,95,43,52,0.45263157894736844,1.3831533317185576,2198.798148266529,0.21987981482665292,0.23210454726203272,0.05422590219988544,49,1750.6875765284365,0.4897959183673469,46,448.1105717380903,0.41304347826086957,
4.0,2.5,False,103,49,54,0.47572815533980584,1.4023466418329642,2321.129960413673,0.2321129960413673,0.26476624397187587,0.061566598105338106,52,1291.5437747914618,0.5,51,1029.586185622211,0.45098039215686275,
4.0,2.0,False,113,56,57,0.49557522123893805,1.3788900750758741,2319.893566039431,0.2319893566039431,0.27053535637837545,0.05753111053898718,58,1649.3120752141958,0.5172413793103449,55,670.581490825234,0.4727272727272727,
4.0,1.5,False,133,65,68,0.48872180451127817,1.1881297049276578,1314.2909147440423,0.13142909147440424,0.17054384596542893,0.0638844894720172,73,875.3236936992528,0.4931506849315068,60,438.96722104478874,0.48333333333333334,
4.0,1.5,True,124,62,62,0.5,1.2570897741253746,1667.2464730680967,0.16672464730680966,0.21600518298207072,0.04966902065715451,67,1120.1703764191461,0.5074626865671642,57,547.0760966489532,0.49122807017543857,
4.0,2.0,True,105,54,51,0.5142857142857142,1.4783936104145137,2615.2953363377146,0.26152953363377146,0.310306803616433,0.04966902065715444,52,1667.9792142360025,0.5384615384615384,53,947.3161221017075,0.49056603773584906,
4.0,2.5,True,97,47,50,0.4845360824742268,1.4459458274860117,2347.774635172598,0.2347774635172598,0.2753318606795896,0.04966902065715429,46,1311.7969144620886,0.5217391304347826,51,1035.9777207105064,0.45098039215686275,
4.0,3.0,False,99,46,53,0.46464646464646464,1.2845717069419946,1645.2252329430867,0.16452252329430866,0.19248065615548643,0.06156659810533796,52,1390.1092663158029,0.4807692307692308,47,255.11596662727408,0.44680851063829785,
4.0,3.0,True,92,45,47,0.4891304347826087,1.344435704412816,1720.492846916697,0.17204928469166972,0.210649084972308,0.04966902065715451,47,1303.2212515120484,0.5106382978723404,45,417.2715954046542,0.4666666666666667,
4.0,3.5,False,95,44,51,0.4631578947368421,1.3071755828325469,1671.2252534842773,0.16712252534842773,0.1918502145997575,0.06156659810533822,50,1293.442705837652,0.48,45,377.7825476466201,0.4444444444444444,
4.0,3.5,True,89,44,45,0.4943820224719101,1.4765007277588391,2325.4121885456752,0.23254121885456752,0.2586741864132444,0.049009950100000046,46,1753.8883764441039,0.5217391304347826,43,571.5238121015672,0.46511627906976744,
