symbol,fold,timeframe,start_date,end_date,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,blocked_1d,error
DOT-USD,6,1h,2026-02-12 22:00:00+00:00,2026-05-07 17:00:00+00:00,44,11,33,0.25,0.7553830372833392,-827.7699010766355,-0.08277699010766355,-0.28747545541902164,0.1203496347384336,0,
DOT-USD,7,1h,2026-05-07 18:00:00+00:00,2026-07-30 23:00:00+00:00,39,11,28,0.28205128205128205,0.7722852918470299,-651.5275955546349,-0.06515275955546349,-0.24354112728376565,0.1072325150228501,0,
ATOM-USD,1,1h,2024-12-16 18:00:00+00:00,2025-03-10 02:00:00+00:00,23,8,15,0.34782608695652173,1.0383856284124457,53.630249538005955,0.005363024953800596,0.039057424399086396,0.1068158809917255,0,
ATOM-USD,0,1h,2024-09-24 10:00:00+00:00,2024-12-16 17:00:00+00:00,25,12,13,0.48,2.050573150900679,1390.5928288877185,0.13905928288877184,0.5111217389355579,0.06475836699038577,0,
ATOM-USD,2,1h,2025-03-10 03:00:00+00:00,2025-06-01 10:00:00+00:00,21,7,14,0.3333333333333333,1.018603702294933,25.222751766455985,0.0025222751766455984,0.025023488929449667,0.04387011082577613,71,
ATOM-USD,3,1h,2025-06-01 11:00:00+00:00,2025-08-23 18:00:00+00:00,23,10,13,0.43478260869565216,1.2356804037208022,340.45157373436814,0.034045157373436816,0.1613209286991071,0.05226656769214119,152,
ATOM-USD,4,1h,2025-08-23 19:00:00+00:00,2025-11-15 02:00:00+00:00,24,8,16,0.3333333333333333,0.8069348360703094,-307.7242546164616,-0.03077242546164616,-0.1438169269818684,0.061817667714749405,14,
ATOM-USD,7,1h,2026-05-07 18:00:00+00:00,2026-07-30 23:00:00+00:00,19,10,9,0.5263157894736842,1.5580418005928964,489.8469433013888,0.048984694330138884,0.28981969021539666,0.04183415415765817,20,
ATOM-USD,5,1h,2025-11-15 03:00:00+00:00,2026-02-12 21:00:00+00:00,19,12,7,0.631578947368421,2.8396719436201288,1498.7356410795455,0.14987356410795455,0.6193727615764928,0.02111630406073005,96,
ATOM-USD,6,1h,2026-02-12 22:00:00+00:00,2026-05-07 17:00:00+00:00,19,9,10,0.47368421052631576,1.8201292951885286,935.8071105070339,0.0935807110507034,0.3870785097253999,0.03956622701392941,46,
