position_id,symbol,direction,regime,score,entry_price,exit_price,exit_reason,pnl,indicators_dir,indicators_conf,harmonic_dir,harmonic_conf,harmonic_pattern,sr_dir,sr_conf,elliott_dir,elliott_conf
84d70f2f,ETH-USD,SELL,CHOP,0.6659951506348586,3155.760009765625,3084.7358581915237,take_profit,97.76554060761029,BUY,0.9,SELL,0.97,Gartley,SELL,0.46,SELL,0.9
e0702fe6,ETH-USD,BUY,BEAR,0.7289492919633141,3001.427490234375,2960.1341673508286,stop_loss,-103.18798528759491,BUY,0.72,BUY,0.52,Bat,BUY,0.86,BUY,0.72
446d3e12,ETH-USD,BUY,CHOP,0.6715492145483861,3001.306640625,2959.676021400071,stop_loss,-102.15610543471881,BUY,0.72,,,,BUY,0.86,BUY,0.72
e5d98988,ETH-USD,SELL,CHOP,0.7210616287206196,2949.965576171875,2901.4386673937547,take_profit,70.70565198691193,SELL,0.6,,,,SELL,0.94,SELL,0.9
63acc22f,ETH-USD,SELL,CHOP,0.656827431073096,2913.662109375,2941.2341599183455,stop_loss,-72.27970322300817,SELL,0.6,,,,SELL,0.82,SELL,0.9
efa247ef,ETH-USD,SELL,CHOP,0.7895036630203063,2945.254150390625,2848.3201475809315,take_profit,141.44064366077504,SELL,0.9,,,,SELL,0.98,SELL,0.9
a0a29e35,ETH-USD,SELL,BEAR,0.653145779116041,1987.776611328125,2012.5150480347588,stop_loss,-95.7040891438755,SELL,0.9,,,,SELL,0.76,SELL,0.88
d3fafb06,ETH-USD,SELL,CHOP,0.6525980617650594,1985.20556640625,1998.8990377418547,stop_loss,-52.54860206081281,SELL,0.6,,,,SELL,0.82,SELL,0.88
c4b8683c,ETH-USD,SELL,CHOP,0.6516659171203899,1972.1695556640625,1991.080437596906,stop_loss,-72.67215706866331,SELL,0.9,,,,SELL,0.72,SELL,0.88
94f7eca3,ETH-USD,BUY,CHOP,0.661105294169053,2074.00537109375,2053.640753618903,stop_loss,-73.88092388303679,BUY,0.9,,,,BUY,0.75,BUY,0.84
407d45fa,ETH-USD,BUY,CHOP,0.677084000868021,2070.80859375,2048.081202956956,stop_loss,-81.97198983422389,BUY,0.9,,,,BUY,0.78,BUY,0.84
b30d993c,ADA-USD,BUY,CHOP,0.6742882219027193,0.8341943025588989,0.8252008789501345,stop_loss,-100.0,BUY,0.9,,,,BUY,0.76,BUY,0.9
445a59f1,ADA-USD,BUY,CHOP,0.672509515396801,0.834387481212616,0.8229176748685983,stop_loss,-98.99999999999963,BUY,0.9,,,,BUY,0.76,BUY,0.9
5586a4dc,ADA-USD,BUY,CHOP,0.6760839338653934,0.753433346748352,0.7452554731942324,stop_loss,-98.00999999999976,BUY,0.9,,,,BUY,0.76,BUY,0.9
75ffcf10,ADA-USD,BUY,CHOP,0.6910790378400822,0.7325576543807983,0.757825563080538,take_profit,164.95083000000025,BUY,0.72,,,,BUY,0.9,BUY,0.72
7a61c952,ADA-USD,BUY,BULL,0.6660682430443617,0.7534826993942261,0.7796829914761731,take_profit,167.7549941099997,BUY,0.9,,,,BUY,0.79,BUY,0.9
ac6bc0ab,ADA-USD,BUY,BULL,0.740131951475889,0.8182542324066162,0.8085666482818619,stop_loss,-100.35695824110003,BUY,0.9,,,,BUY,0.99,BUY,0.86
f5a210c5,ADA-USD,BUY,BULL,0.6827636854478787,0.8190657496452332,0.8082877540459813,stop_loss,-99.35338865868857,BUY,0.69,,,,BUY,0.97,BUY,0.86
f7594dae,ADA-USD,BUY,BULL,0.6606160070591858,0.8221059441566467,0.8229280501008033,stop_loss,53.21662399292654,BUY,0.69,,,,BUY,0.92,BUY,0.86
d712e7c8,ADA-USD,BUY,CHOP,0.7627225264494508,0.8207705020904541,0.8096957345054039,stop_loss,-98.89202101203108,BUY,0.9,,,,BUY,0.94,BUY,0.86
6c019025,ADA-USD,BUY,CHOP,0.6501788217622881,0.8634746670722961,0.8529243749685504,stop_loss,-97.90310080191121,BUY,0.72,,,,BUY,0.82,BUY,0.72
fdf14cb6,AVAX-USD,BUY,BULL,0.6722970463993533,21.186906814575195,20.80877851539118,stop_loss,-100.00000000000024,BUY,0.6,,,,BUY,0.98,BUY,0.9
69e49755,AVAX-USD,SELL,CHOP,0.6657882792047503,24.99043083190918,25.283877209201087,stop_loss,-99.0000000000001,BUY,0.69,SELL,0.69,Gartley,SELL,0.68,SELL,0.72
32ff04e8,AVAX-USD,SELL,CHOP,0.7215810107706393,24.348648071289062,23.001002533965686,take_profit,166.61699999999996,SELL,0.9,,,,SELL,0.85,SELL,0.9
1039baec,AVAX-USD,SELL,BEAR,0.7448412095063569,21.148984909057617,21.12783592414856,stop_loss,52.81467140931063,SELL,0.9,,,,SELL,0.98,SELL,0.9
8fc8796b,AVAX-USD,SELL,BEAR,0.696902235009224,21.161279678344727,21.514317696129453,stop_loss,-100.20431671409278,SELL,0.69,,,,SELL,0.99,SELL,0.9
ffc08a52,AVAX-USD,SELL,BEAR,0.6502093473035805,21.594606399536133,21.896603297375297,stop_loss,-99.20227354695201,SELL,0.9,,,,SELL,0.75,SELL,0.9
0e731b1a,AVAX-USD,SELL,BEAR,0.6565477145191618,21.903446197509766,21.881542751312256,stop_loss,52.645651925957516,SELL,0.9,,,,SELL,0.76,SELL,0.9
3f51a99f,AVAX-USD,SELL,CHOP,0.6926299425250475,21.99420928955078,22.210443612460754,stop_loss,-97.07221012108154,SELL,0.6,,,,SELL,0.89,SELL,0.9
0166c930,AVAX-USD,BUY,BULL,0.6566328843479629,24.59786033630371,24.31787652420045,stop_loss,-97.76598522953196,BUY,0.9,,,,BUY,0.76,BUY,0.9
3e0262f3,DOT-USD,BUY,BEAR,0.6546649753283634,4.106997013092041,4.208280713594809,stop_loss,145.97006765918806,BUY,0.72,,,,BUY,0.93,BUY,0.72
da2c02da,DOT-USD,BUY,CHOP,0.6604056694379081,4.271340370178223,4.222499350367695,stop_loss,-101.45970067659142,BUY,0.9,,,,BUY,0.73,BUY,0.9
591bc159,DOT-USD,BUY,BEAR,0.6735241989503288,3.917097568511963,3.870842614377368,stop_loss,-100.4451036698261,BUY,0.72,,,,BUY,0.98,BUY,0.72
9b4e0b48,DOT-USD,BUY,BULL,0.7332329424450679,3.923967123031616,3.873875409768321,stop_loss,-99.44065263312756,BUY,0.9,,,,BUY,0.96,BUY,0.9
92e48c91,DOT-USD,BUY,BULL,0.6516975017738168,4.008612155914307,4.067185681665642,stop_loss,134.15629657918032,BUY,0.9,,,,BUY,0.75,BUY,0.9
191c2717,DOT-USD,BUY,BULL,0.6580272142188912,4.09636116027832,4.1004575214385985,stop_loss,54.59011565853933,BUY,0.69,,,,BUY,0.92,BUY,0.84
