symbol,w_trend,w_elliott,w_volatility,w_volume,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.1,0.0,0.2,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.1,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.4,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.3,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.6,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.5,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.7,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.8,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.0,0.9,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.1,0.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.1,0.1,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.1,0.2,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.1,0.3,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.1,0.4,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.2,0.7,0.0,65,23,42,0.35384615384615387,1.3300180480667656,1632.8754367803758,0.16328754367803758,0.18607813325267403,0.09177458519629249,
BTC-USD,0.1,0.1,0.8,0.0,16,7,9,0.4375,2.059256891547172,1076.8760049950215,0.10768760049950216,0.21899306498089105,0.036006570793695944,
BTC-USD,0.1,0.2,0.6,0.1,30,10,20,0.3333333333333333,1.295653291539308,668.1251510302627,0.06681251510302627,0.11634849557187944,0.09801011337229987,
BTC-USD,0.1,0.1,0.5,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.1,0.6,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.1,0.7,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.2,0.0,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.2,0.1,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.2,0.2,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.2,0.3,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.2,0.4,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.2,0.5,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.3,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.3,0.1,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.3,0.2,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.5,0.0,0.4,95,35,60,0.3684210526315789,1.266459919560653,1895.8574237636112,0.1895857423763611,0.1858250233912297,0.0713465339611376,
BTC-USD,0.1,0.5,0.1,0.3,114,40,74,0.3508771929824561,1.2002743093177548,1776.6743421602805,0.17766743421602804,0.16415445998454004,0.09793737422321402,
BTC-USD,0.1,0.3,0.5,0.1,65,23,42,0.35384615384615387,1.3300180480667656,1632.8754367803758,0.16328754367803758,0.18607813325267403,0.09177458519629249,
BTC-USD,0.1,0.3,0.4,0.2,38,15,23,0.39473684210526316,1.47450667662258,1274.1252579867305,0.12741252579867304,0.1898252340201525,0.09383215127043318,
BTC-USD,0.1,0.3,0.6,0.0,63,23,40,0.36507936507936506,1.3973349420407932,1888.643659437932,0.1888643659437932,0.21204938574990173,0.07838195063614165,
BTC-USD,0.1,0.4,0.3,0.2,64,23,41,0.359375,1.3638117531315415,1764.8549353527706,0.17648549353527707,0.19947409935260685,0.08147041444436401,
BTC-USD,0.1,0.4,0.4,0.1,63,23,40,0.36507936507936506,1.3973349420407932,1888.643659437932,0.1888643659437932,0.21204938574990173,0.07838195063614165,
BTC-USD,0.1,0.5,0.2,0.2,113,40,73,0.35398230088495575,1.216313762547909,1900.5951498119484,0.19005951498119483,0.17387574174834347,0.0884453626509437,
