symbol,w_trend,w_elliott,w_volatility,w_volume,w_mean_rev,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.2,0.0,0.2,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.2,0.2,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.2,0.4,0.2,11,3,8,0.2727272727272727,0.7508183028128529,-218.41248596860714,-0.021841248596860714,-0.06874025152684422,0.07592835895067471,
BTC-USD,0.2,0.0,0.4,0.4,0.0,24,10,14,0.4166666666666667,1.4353400440950494,667.7392827968888,0.06677392827968888,0.1347411356591634,0.05502930444131361,
BTC-USD,0.2,0.0,0.4,0.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.4,0.2,0.2,2,2,0,1.0,0.0,587.7926880697269,0.058779268806972686,0.24483075229662757,0.0,
BTC-USD,0.2,0.0,0.8,0.0,0.0,14,11,3,0.7857142857142857,6.846861579867761,2033.1604959886845,0.20331604959886845,0.4152904695907898,0.02126074254155202,
BTC-USD,0.2,0.0,0.6,0.2,0.0,14,7,7,0.5,1.987017287720282,779.8516834660986,0.07798516834660986,0.18758757166709072,0.05373254265007274,
BTC-USD,0.2,0.2,0.0,0.6,0.0,55,15,40,0.2727272727272727,0.7634577533562081,-1048.6114278802143,-0.10486114278802143,-0.151843547487696,0.16880322880318832,
BTC-USD,0.2,0.0,0.6,0.0,0.2,3,3,0,1.0,0.0,589.7071882622931,0.05897071882622931,0.24577629298894949,0.0,
BTC-USD,0.2,0.2,0.0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.2,0.0,0.4,0.2,52,20,32,0.38461538461538464,1.3743049990730192,1399.537013086605,0.1399537013086605,0.1812231422068518,0.09564187585540652,
BTC-USD,0.2,0.2,0.0,0.2,0.4,5,2,3,0.4,1.0258729305387773,8.755301304829118,0.0008755301304829118,0.007324085819055679,0.02707551949505895,
BTC-USD,0.2,0.2,0.2,0.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.2,0.2,0.2,0.2,14,7,7,0.5,1.9906548149496412,771.8725065987765,0.07718725065987765,0.1864946352924912,0.021849222035173626,
BTC-USD,0.2,0.4,0.0,0.0,0.4,114,40,74,0.3508771929824561,1.2499686391159155,2198.4547693528075,0.21984547693528075,0.19315918493135778,0.08246563730572848,
BTC-USD,0.2,0.4,0.0,0.2,0.2,117,42,75,0.358974358974359,1.2977658514803556,2787.64995127743,0.278764995127743,0.23053110443332472,0.08462984887471214,
BTC-USD,0.2,0.4,0.0,0.4,0.0,130,49,81,0.3769230769230769,1.3736685229209513,3783.662823802775,0.37836628238027753,0.2823903214487632,0.1273645599140855,
BTC-USD,0.2,0.2,0.2,0.4,0.0,55,22,33,0.4,1.4366738187182453,1692.9971149618923,0.16929971149618922,0.20888754538798482,0.0982316496259458,
BTC-USD,0.2,0.4,0.2,0.0,0.2,116,41,75,0.35344827586206895,1.283714793706709,2547.332296772196,0.2547332296772196,0.21465402975209705,0.08246563730572848,
BTC-USD,0.2,0.4,0.2,0.2,0.0,119,43,76,0.36134453781512604,1.3298389296200837,3153.3785440263164,0.3153378544026316,0.25095499534348076,0.08462984887471214,
BTC-USD,0.2,0.4,0.4,0.0,0.0,116,41,75,0.35344827586206895,1.283714793706709,2547.332296772196,0.2547332296772196,0.21465402975209705,0.08246563730572848,
BTC-USD,0.2,0.2,0.4,0.0,0.2,18,10,8,0.5555555555555556,2.539900659992496,1451.7788353650194,0.14517788353650193,0.2853825188828436,0.021142344624803747,
BTC-USD,0.2,0.2,0.4,0.2,0.0,25,13,12,0.52,2.2042867461628144,1674.6940087538205,0.16746940087538206,0.2861219362187388,0.03177359207580205,
BTC-USD,0.2,0.6,0.0,0.0,0.2,138,50,88,0.36231884057971014,1.3164416407568587,3505.977905294394,0.3505977905294394,0.2594935278277318,0.09299609038430022,
BTC-USD,0.2,0.2,0.6,0.0,0.0,31,15,16,0.4838709677419355,1.7925790448131673,1481.5881268346839,0.1481588126834684,0.24116876689713554,0.054504468701420665,
BTC-USD,0.2,0.6,0.0,0.2,0.0,154,57,97,0.37012987012987014,1.3406760024344653,4152.276661911883,0.4152276661911883,0.2849181079837587,0.1018201580930422,
BTC-USD,0.2,0.8,0.0,0.0,0.0,175,64,111,0.3657142857142857,1.361513461024145,5000.63205567642,0.500063205567642,0.31047648677487005,0.10024314520686428,
